Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1650.0,900.0,300.0,150.0
3122.46305499,4284.53935994,350.310467835,528.831810696
3903.83700026,5465.60545659,463.322583908,731.165891314
4053.10545525,5386.33711879,611.708589004,827.766564721
4179.03013862,5336.36400594,758.286272544,919.132626196
4298.73328841,5332.38502167,893.494704296,1006.95526705
4399.52871463,5337.46168848,1013.47422244,1086.50777402
4481.36684337,5341.55592573,1117.67169508,1156.23958509
4546.99643941,5342.62622261,1206.98461367,1216.20941633
4599.28283554,5340.79168619,1282.84410748,1267.1531958
4640.72025095,5336.7159013,1346.82770075,1310.05413479
4673.38872137,5331.11172594,1400.48564365,1345.94120406
4698.99956365,5324.59286039,1445.26143245,1375.79628867
4718.9529527,5317.64221437,1482.45860758,1400.51442254
4734.39058791,5310.61947267,1513.23156305,1420.89028488
4746.24052353,5303.78017638,1538.58889696,1437.61769786
4463.79618785,5297.2963507,650.198946485,763.892081571
4266.72406542,5212.82449618,455.470113045,625.377947503
4174.79431431,5186.24282764,401.806893377,592.431309707
4131.24068121,5184.37921857,381.550613721,582.6977267
4109.10433118,5189.55671394,371.540107863,579.012678314
4097.84519399,5196.52494695,365.841983099,577.403827869
4092.75699971,5203.77764406,362.450178064,576.741413536
4091.27932039,5210.71914741,360.446245278,576.58240503
4091.84424975,5217.02707582,359.311676771,576.696125125
4093.45937858,5222.53132994,358.722663756,576.945365467
4095.50585542,5227.17557097,358.469272304,577.246632369
4097.61430263,5230.98447013,358.414453757,577.550822619
4099.58028498,5234.03287012,358.469579711,577.831229221
4101.30543709,5236.4207238,358.578545569,578.075430755
4102.75685582,5238.25522996,358.707024051,578.2797517
4103.93969186,5239.63949559,358.835087334,578.445542022
4104.87917032,5240.66624997,358.952133572,578.576747993
4105.60921522,5241.41508727,359.053423024,578.678384414
4106.165593,5241.95197113,359.137745472,578.755621794
4106.58206723,5242.3300586,359.205880258,578.813281763
4106.88849777,5242.59119225,359.259606382,578.855594757
4107.11014546,5242.76763934,359.301088888,578.88611919
4107.26768375,5242.88382372,359.332517803,578.907754293
4107.37758931,5242.95791132,359.355912547,578.922802237
4107.45270357,5243.00318536,359.373031394,578.933051541
4107.50283912,5243.02919373,359.385344848,578.939864931
4107.53535933,5243.04267821,359.394045522,578.944262225
4107.55569495,5243.04830857,359.400076773,578.946993597
4107.56778361,5243.04925058,359.404168994,578.948601525
4107.57443103,5243.04759695,359.406876968,578.94947148
4107.57759989,5243.04468885,359.408614658,578.949872303
4107.57863561,5243.04135144,359.409685695,578.949987672
4107.57843941,5243.03806368,359.410309008,578.949940135
4107.57759842,5243.0350785,359.410639685,578.949809146
4107.57648191,5243.03250626,359.410785533,578.949644355
4181.15445067,5243.03037154,595.729914331,772.852782215
4276.7919529,5262.74470612,787.523591988,915.35617992
4366.30225474,5280.21442416,941.765930815,1025.81404291
4443.89263251,5292.76943511,1066.65780191,1113.70292672
4509.35075887,5301.00482712,1168.6610246,1184.72746211
4563.74545684,5305.72404932,1252.5439357,1242.67993931
4608.44071769,5307.63943729,1321.84439302,1290.2472614
4644.81856153,5307.38369912,1379.24976631,1329.42278379
4674.1760901,5305.51678899,1426.85484223,1361.73798013
4697.68178192,5302.52082888,1466.33045536,1388.40145402
4716.35999603,5298.79624335,1499.03420894,1410.38649683
4731.09115174,5294.66352402,1526.08465921,1428.4885772
4742.62059197,5290.36989756,1548.41247499,1443.36459773
4751.57177127,5286.09882581,1566.79694728,1455.56075548
4758.46105856,5281.9804935,1581.89302011,1465.53307267
4763.71254116,5278.102042,1594.25204044,1473.66306808
4767.67193452,5274.51685288,1604.33821425,1480.27009706
4770.61915641,5271.25257123,1612.54201419,1485.6213209
4772.7794018,5268.31780022,1619.19133121,1489.93992228
4774.332717,5265.70753399,1624.56088553,1493.41197288
4775.42216094,5263.40746346,1628.88024359,1496.1922293
4776.16068551,5261.39731461,1632.34068392,1498.40905277
4776.63688342,5259.65338007,1635.10109093,1500.16859721
4776.91975314,5258.15039337,1637.29301536,1501.55837718
4777.06262202,5256.86287786,1639.02501358,1502.65030554
4777.10635644,5255.76608333,1640.38636042,1503.50327511
4777.08197346,5254.83660443,1641.45021654,1504.16534753
4777.01275369,5254.05275833,1642.27632201,1504.6756038
4776.91594158,5253.39478346,1642.91327862,1505.06570388
4776.80410612,5252.84490874,1643.40047691,1505.36119657
4776.68622394,5252.38733179,1643.76971705,1505.58261608
4776.56853645,5252.0081356,1644.04656722,1505.74639654
4776.4552242,5251.69516638,1644.25149764,1505.86563215
4776.34893394,5251.43788901,1644.40082391,1505.95070665
4776.25118782,5251.22723249,1644.5074887,1506.0098127
4776.16269859,5251.05543395,1644.58170708,1506.04937891
4776.08361026,5250.91588718,1644.63149734,1506.07441959
4776.01368019,5250.80299952,1644.66311601,1506.08882012
4775.95241516,5250.71205948,1644.68141286,1506.09556896
4775.89917167,5250.63911626,1644.69011972,1506.09694552
4775.85322866,5250.5808716,1644.69208429,1506.09467165
4775.81383913,5250.5345837,1644.68945885,1506.09003328
4775.78026559,5250.49798279,1644.68385183,1506.08397774
4775.7518036,5250.46919749,1644.67644902,1506.0771912
4775.72779629,5250.44669105,1644.66811009,1506.07015997
4775.70764242,5250.42920651,1644.65944507,1506.06321883
4775.69079974,5250.4157199,1644.65087463,1506.05658893
4775.67678513,5250.40540042,1644.64267731,1506.05040725
4775.66517259,5250.39757672,1644.63502632,1506.04474939
3457.49472424,7021.90548561,1466.35096084,1230.96379282
