Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1785.0,900.0,300.0,15.0
3247.96851683,4608.91134483,369.712278361,59.552553438
4015.34582638,5866.68956456,435.971846466,93.7692386578
4115.26612091,5673.84384527,521.488247214,119.886476248
4228.08476701,5596.95244073,611.925595482,147.115670042
4337.56483744,5583.26947684,699.816771807,174.749268523
4426.20475697,5581.64832817,779.695481861,201.814714898
4494.46417848,5579.73341338,849.447147928,227.746713019
4545.91190912,5575.02263262,908.874198483,252.193980374
4584.05915603,5567.62211421,958.672438286,274.943481012
4611.86821903,5558.30663943,999.899345437,295.884434438
4631.74007922,5547.90954569,1033.70740397,314.983279843
4645.58803729,5537.13209685,1061.21351052,332.263791166
4654.92026624,5526.50189588,1083.43893741,347.790931813
4660.91459814,5516.38447128,1101.286236,361.657850928
4664.48243727,5507.01130714,1115.53541735,373.975579989
4565.26596264,5498.51004911,735.055437366,219.03038963
4474.91854281,5463.71029595,591.447539993,148.211873628
4417.0013434,5443.24580807,532.414653672,116.026250797
4381.5276587,5433.94003347,505.505763695,101.360509751
4359.52289116,5430.58915842,491.75899004,94.6037436623
4345.77550086,5430.35145512,483.96578043,91.4296487703
4337.32655332,5431.8039911,479.195704975,89.8977475862
4332.38110158,5434.16713996,476.142916534,89.1348028142
4329.76908312,5436.96003654,474.155715453,88.7434777653
4328.69089582,5439.86677124,472.868428769,88.5391944199
4328.58896431,5442.68091953,472.054506235,88.4333887283
4329.07440508,5445.27578654,471.563547731,88.3816323804
4329.8796614,5447.58335701,471.291603432,88.3604107605
4330.82517047,5449.57745649,471.165485071,88.356568779
4331.79483962,5451.26018705,471.133476696,88.3623857092
4332.71771591,5452.65137495,471.159282468,88.3731805869
4333.55428998,5453.78072366,471.217808572,88.3860798139
4334.28635531,5454.68225377,471.292101732,88.3993376749
4334.9096064,5455.39056965,471.371081525,88.4119340958
4335.42833356,5455.93851657,471.447849218,88.4233213742
4335.85170455,5456.35585172,471.518429004,88.4332574528
4336.19123,5456.66862416,471.580838344,88.4416933226
4336.45909745,5456.89902765,471.634409602,88.4486963169
4336.66713072,5457.06555087,471.679302838,88.4543981295
4336.82618947,5457.1832987,471.716162767,88.4589602033
4336.94587037,5457.26439694,471.745883205,88.4625513864
4337.03440779,5457.31842211,471.769450509,88.4653342007
4337.09870027,5457.35281951,471.787844077,88.4674570722
4337.14441072,5457.37328795,471.801977248,88.4690505911
4337.17610439,5457.38412042,471.812666113,88.47022641
4337.19740084,5457.38849679,471.820616968,88.4710777842
4337.21112463,5457.38872947,471.826425756,88.4716810596
4337.2194458,5457.38646523,471.830584684,88.472097632
4337.22400532,5457.38284817,471.833492754,88.472376066
4337.22602366,5457.37864904,471.835467941,88.4725541736
4379.14155247,5457.3743663,634.299098685,124.902000329
4430.95847808,5468.64422328,752.246914999,159.688745106
4477.683566,5478.07281964,840.236414862,192.190785161
4516.82287159,5484.27039662,907.235101985,222.123500254
4548.74599114,5487.77131878,959.105686972,249.4051938
4574.36964971,5489.18278488,999.804449291,274.072638254
4594.66786793,5489.00956748,1032.07367699,296.234056941
4610.55058051,5487.67232707,1057.86333236,316.039396312
4622.82740574,5485.52389463,1078.59441131,333.660696025
4632.19823702,5482.85564558,1095.32657872,349.27904542
4639.25547705,5479.9013815,1108.86674022,363.075985778
4644.49209664,5476.84215714,1119.84061516,375.227945729
4648.31244513,5473.81252759,1128.74083285,385.902755989
4651.04397383,5470.90762837,1135.95994889,395.25759371
4652.94877129,5468.19036762,1141.81364836,403.437910703
4654.23428831,5465.69818715,1146.55746723,410.577037156
4655.06294365,5463.44907161,1150.39915498,416.796245476
4655.56049913,5461.4466664,1153.50804369,422.205122338
4655.82321352,5459.68448814,1156.02230986,426.902140897
4655.92385308,5458.14928598,1158.0547125,430.975355752
4655.91667181,5456.82365076,1159.69719825,434.50316508
4655.84148792,5455.68798345,1161.02464097,437.555100081
4655.72698385,5454.72193487,1162.0979039,440.19261336
4655.59335011,5453.90542023,1162.96636048,442.469846417
4655.45438223,5453.21930004,1163.6699756,444.434362741
4655.31912731,5452.64580539,1164.24102588,446.127837795
4655.19316388,5452.16877188,1164.70552072,447.586700729
4655.07958609,5451.77373463,1165.08437482,448.842725349
4654.97975174,5451.4479254,1165.39437309,449.923569813
4654.89384382,5451.18020404,1165.64896282,450.853265983
4654.82128584,5450.96094846,1165.85890183,451.652660327
4654.76104388,5450.78192134,1166.03278695,452.339808989
4654.71184183,5450.63612643,1166.17748354,452.930330039
4654.67231076,5450.51766396,1166.2984732,453.437716152
4654.64108901,5450.42159096,1166.40013429,453.873611079
4654.61688598,5450.34379073,1166.48596739,454.248053206
4654.59851961,5450.28085348,1166.55877597,454.569689429
4654.58493522,5450.22996924,1166.62081051,454.84596242
4654.57521147,5450.18883322,1166.67388327,455.083274142
4654.56855781,5450.15556326,1166.71945929,455.287128289
4654.5643066,5450.12862855,1166.75872841,455.462254094
4654.56190206,5450.10678864,1166.79266206,455.612713731
4654.56088789,5450.08904186,1166.82205804,455.74199531
4654.56089446,5450.07458183,1166.84757571,455.853093286
4654.56162643,5450.06276117,1166.86976359,455.948577866
4654.56285116,5450.05306138,1166.88908111,456.03065486
4654.56438827,5450.04506804,1166.90591561,456.101217222
4654.56610032,5450.03845038,1166.92059579,456.161889399
4654.56788474,5450.03294469,1166.93340222,456.214065458
3435.43745819,6851.77845478,1041.87402103,398.711591307
