Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1785.0,900.0,300.0,15.0
3247.96851683,4608.91134483,369.712278361,59.552553438
4015.34582638,5866.68956456,435.971846466,93.7692386578
4115.26612091,5673.84384527,521.488247214,119.886476248
4228.08476701,5596.95244073,611.925595482,147.115670042
4337.56483744,5583.26947684,699.816771807,174.749268523
4426.20475697,5581.64832817,779.695481861,201.814714898
4494.46417848,5579.73341338,849.447147928,227.746713019
4545.91190912,5575.02263262,908.874198483,252.193980374
4584.05915603,5567.62211421,958.672438286,274.943481012
4611.86821903,5558.30663943,999.899345437,295.884434438
4631.74007922,5547.90954569,1033.70740397,314.983279843
4645.58803729,5537.13209685,1061.21351052,332.263791166
4654.92026624,5526.50189588,1083.43893741,347.790931813
4660.91459814,5516.38447128,1101.286236,361.657850928
4664.48243727,5507.01130714,1115.53541735,373.975579989
3807.68483158,4579.09691441,1043.61919072,375.511856424
3743.64618148,4938.28429404,937.013800145,376.633442288
3702.06144036,5108.20273807,836.333077327,371.650692276
3667.64597728,5185.57019127,750.927318509,363.124287125
3644.14983326,5228.36566218,682.89541333,352.974693436
3628.37303346,5254.78837241,630.472480664,342.299272676
3617.43161157,5271.917726,590.774614046,331.744203801
3609.54465927,5283.26074042,560.975388753,321.686965333
3603.6773993,5290.85268074,538.686680831,312.335014093
3599.21655751,5295.97264236,522.01946304,303.786384452
3595.77818813,5299.45107147,509.530153451,296.069142765
3593.10559179,5301.83328825,500.136678534,289.167663244
3591.01686366,5303.47891732,493.036725767,283.040222983
3589.37764915,5304.6259325,487.63882891,277.630734701
3588.08623807,5305.43256587,483.508015917,272.87648123
3587.06467514,5306.0047302,480.324455961,268.713116868
3586.25291287,5306.41390146,477.852642977,265.077804602
3585.60463718,5306.70875924,475.918709235,261.911089145
3585.0841281,5306.92277402,474.393839836,259.157920682
3584.6638384,5307.07917499,473.182191021,256.768116101
3584.32251122,5307.19422648,472.212101475,254.696455409
3584.04371819,5307.27940873,471.429698357,252.90254906
3583.81472945,5307.34288436,470.794240186,251.350568687
3583.62564523,5307.39049511,470.27471838,250.00890365
3583.46873177,5307.42644625,469.847371172,248.84978484
3583.33791534,5307.45378121,469.493859654,247.848902697
3583.2283979,5307.47471347,469.199925165,246.98503635
3583.13636529,5307.49086055,468.954397297,246.239703967
3583.05876567,5307.50340989,468.74845796,245.596839769
3582.99314103,5307.51323735,468.575092915,245.04250004
3582.93749874,5307.52099201,468.428680999,244.564598504
3582.89021322,5307.52715735,468.304684804,244.152670158
3582.84995032,5307.53209539,468.199416399,243.797661889
3582.81560893,5307.53607875,468.109858751,243.491747819
3582.7862755,5307.53931396,468.033528716,243.228167148
4127.01417391,5975.94479648,509.974355305,249.305915438
4243.31406442,5795.64990998,586.736905425,255.174856565
4354.80046418,5717.34159916,672.602003455,265.112953534
4451.61627032,5686.6348503,756.522720983,277.767353942
4525.73150254,5666.48309448,832.431666522,291.871744728
4579.93558763,5647.71993212,898.119628667,306.566861193
4618.44739432,5628.5146283,953.406959507,321.244094769
4644.99759746,5608.99505627,999.052251893,335.474769725
4662.60075721,5589.74445666,1036.1904682,348.968899908
4673.62278808,5571.3326091,1066.04879994,361.543908343
4679.89206903,5554.18313799,1089.80675476,373.09918277
4682.80470709,5538.55837214,1108.53229485,383.595281617
4683.41431052,5524.58294744,1123.15835015,393.037137364
4682.50586215,5512.27648726,1134.48053207,401.460701895
4680.65552719,5501.58451766,1143.16553135,408.922510358
4678.278606,5492.40419805,1149.7643712,415.491675641
4675.66769259,5484.60435165,1154.727291,421.243872582
4673.02282317,5478.04034745,1158.41851275,426.256924977
4670.47511821,5472.56470226,1161.12998943,430.607663887
4668.10517056,5468.03428853,1163.09372233,434.369778881
4665.9572171,5464.31493841,1164.49251408,437.612432363
4664.04994902,5461.28410697,1165.46917941,440.399449988
4662.38466204,5458.83212971,1166.13431923,442.788937136
4660.95131855,5456.86249525,1166.57280235,444.833202634
4659.73298512,5455.29145663,1166.84911325,446.578896904
4658.70901812,5454.04722438,1167.01172261,448.067293067
4657.85729512,5453.06892026,1167.09662791,449.33465682
4657.15572774,5452.30541978,1167.13019781,450.412664736
4656.58324081,5451.7141725,1167.13143851,451.328841657
4656.12036178,5451.26005934,1167.11378475,452.106996344
4655.74953097,5450.91432407,1167.08650329,452.767641248
4655.45521706,5450.65359983,1167.05578332,453.328387244
4655.223901,5450.45904034,1167.02557582,453.804307952
4655.04397548,5450.31555718,1166.99823317,454.208271044
4654.90559405,5450.21115973,1166.9749915,454.551235896
4654.80049446,5450.1363906,1166.95632978,454.842518318
4654.72181302,5450.08384817,1166.94223361,455.090023998
4654.66390166,5450.04778643,1166.93238565,455.300452861
4654.62215474,5450.02378289,1166.9263005,455.479476835
4654.59285007,5450.00846501,1166.92341767,455.631893632
4654.57300609,5449.99928684,1166.9231636,455.761759146
4654.56025616,5449.99434801,1166.92499101,455.872500957
4654.55273932,5449.99224806,1166.92840198,455.96701528
4654.5490068,5449.99197025,1166.9329597,456.047749503
4654.54794284,5449.99278951,1166.93829237,456.116772265
4654.54869836,5449.99420006,1166.94409203,456.17583281
4654.55063595,5449.99585905,1166.9501103,456.226411152
4654.55328461,5449.99754296,1166.95615234,456.2697604
4654.55630294,5449.99911427,1166.96206998,456.306942428
3435.43484316,6851.73650117,1041.89994819,398.795265754
