Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1785.0,900.0,300.0,15.0
3247.96851683,4608.91134483,369.712278361,59.552553438
4015.34582638,5866.68956456,435.971846466,93.7692386578
4115.26612091,5673.84384527,521.488247214,119.886476248
4228.08476701,5596.95244073,611.925595482,147.115670042
4337.56483744,5583.26947684,699.816771807,174.749268523
4426.20475697,5581.64832817,779.695481861,201.814714898
4494.46417848,5579.73341338,849.447147928,227.746713019
4545.91190912,5575.02263262,908.874198483,252.193980374
4584.05915603,5567.62211421,958.672438286,274.943481012
4611.86821903,5558.30663943,999.899345437,295.884434438
4631.74007922,5547.90954569,1033.70740397,314.983279843
4645.58803729,5537.13209685,1061.21351052,332.263791166
4654.92026624,5526.50189588,1083.43893741,347.790931813
4660.91459814,5516.38447128,1101.286236,361.657850928
4664.48243727,5507.01130714,1115.53541735,373.975579989
4615.74521744,5498.51004911,930.763016777,301.594784684
4561.87689196,5477.31231503,828.534651042,252.090800268
4519.65554428,5461.29133809,769.348067764,218.478451369
4488.87331618,5451.09458997,733.596298413,195.757720126
4466.86662915,5445.09553163,711.110708479,180.426182666
4451.31954696,5441.95662581,696.450478221,170.081735881
4440.50052403,5440.74859986,686.607170268,163.095808595
4433.13510785,5440.8206315,679.853722189,158.371195142
4428.2781871,5441.70558695,675.156378699,155.170942678
4425.22402504,5443.06547775,671.868699658,153.000460624
4423.44490454,5444.65855878,669.568957174,151.527513703
4422.5478694,5446.31676188,667.971482162,150.528432798
4422.24289896,5447.92843344,666.876778689,149.852158208
4422.31870788,5449.42441866,666.142367586,149.396276405
4422.62397921,5450.76674744,665.664989213,149.091064716
4423.05269053,5451.93956356,665.369224319,148.88885905
4423.53263791,5452.94202209,665.199879904,148.756952061
4424.0165068,5453.78287914,665.116682893,148.672831906
4424.47498382,5454.47649319,665.090457879,148.620974717
4424.89150127,5455.039967,665.100306028,148.590671308
4425.25827918,5455.4911839,665.131489267,148.574545195
4425.57338878,5455.84752542,665.173829263,148.567535227
4425.83861122,5456.12509329,665.220492082,148.566192509
4426.05790762,5456.33829343,665.267066783,148.56819151
4426.23635278,5456.49967086,665.310870223,148.571988276
4426.3794153,5456.61991111,665.350426537,148.576580499
4426.49249192,5456.70794552,665.385081399,148.58133866
4426.58062531,5456.77111539,665.41471984,148.585887111
4426.6483506,5456.81536336,665.43956306,148.590020455
4426.69963022,5456.84543109,665.46002497,148.593644985
4426.73784664,5456.86504942,665.476613394,148.596737964
4426.76583122,5456.87711338,665.489864213,148.599319603
4426.78591361,5456.88383762,665.500299441,148.601434072
4426.79998099,5456.88689112,665.508402356,148.603136907
4426.8095399,5456.88751139,665.514604506,148.604486901
3184.02553054,6979.34719416,590.908932006,121.697031619
