Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1785.0,900.0,300.0,15.0
3247.96851683,4608.91134483,369.712278361,59.552553438
4015.34582638,5866.68956456,435.971846466,93.7692386578
4115.26612091,5673.84384527,521.488247214,119.886476248
4228.08476701,5596.95244073,611.925595482,147.115670042
4337.56483744,5583.26947684,699.816771807,174.749268523
4426.20475697,5581.64832817,779.695481861,201.814714898
4494.46417848,5579.73341338,849.447147928,227.746713019
4545.91190912,5575.02263262,908.874198483,252.193980374
4584.05915603,5567.62211421,958.672438286,274.943481012
4611.86821903,5558.30663943,999.899345437,295.884434438
4631.74007922,5547.90954569,1033.70740397,314.983279843
4645.58803729,5537.13209685,1061.21351052,332.263791166
4654.92026624,5526.50189588,1083.43893741,347.790931813
4660.91459814,5516.38447128,1101.286236,361.657850928
4664.48243727,5507.01130714,1115.53541735,373.975579989
2318.57800798,3042.84105095,891.961276989,359.546928782
2647.43982027,4148.27082962,682.593681669,349.463027621
2216.23740769,3394.94381334,539.745616509,322.546445696
1806.54994602,2723.38495257,431.813835593,294.072189312
1484.8513939,2231.95632488,348.495119136,266.649655605
1237.43291636,1867.41096919,282.914286709,240.672556226
1045.67241969,1586.72232123,231.056240028,216.346575992
893.993792953,1363.46489817,190.030467467,193.827445488
771.419943104,1181.67066141,157.50079919,173.189146191
670.594911888,1031.10963409,131.581602573,154.425720535
586.496595807,904.777849529,110.790327001,137.47304191
515.559412803,797.646247356,93.9825651692,122.230709647
455.162787715,705.98942592,80.2822743576,108.578380159
403.330703344,626.983554138,69.0202739822,96.3869086982
358.543702839,558.446625671,59.684790151,85.5257319493
319.614247088,498.663956164,51.8832024336,75.8676450174
285.600931019,446.268083159,45.3129392733,67.291766592
255.747990964,400.154342632,39.7395082289,59.6852423949
229.441822777,359.420283129,34.9799834962,52.9440784391
206.179186482,323.32132746,30.8906227779,46.9733855073
185.543586612,291.237744245,27.357586221,41.6872363196
167.187471778,262.649653569,24.2899744339,37.0082782526
150.818644132,237.117846442,21.6145952354,32.8672017141
136.189760161,214.268881759,19.2720174651,29.2021333389
123.090132339,193.78337767,17.2135831231,25.9580009452
111.339264439,175.386720627,15.39913395,23.0859013452
100.781707826,158.841626427,13.7952717992,20.5424908884
91.2829346211,143.94213535,12.3740190576,18.2894107551
82.7260010795,130.508728679,11.1117800401,16.2927535732
75.0088303448,118.384329835,9.98852986063,14.5225742152
68.041984624,107.43100891,8.98717613299,12.9524451527
61.7468269634,97.5272506033,8.09305275178,11.5590551407
56.0539953347,88.5656764486,7.2935152556,10.3218490096
50.902128712,80.4511356043,6.57761484785,9.22270578096
46.2367977224,73.0990964074,5.93583376017,8.24565205056
52.7610812671,80.4693686963,6.08533719747,7.50480866943
133.025026302,222.061537997,6.96429292318,8.02441845695
379.908568323,652.793489096,10.5887238482,11.3381559626
1030.97698478,1776.75647168,22.3002858073,21.4375006012
2260.61120055,3835.56737335,55.411736486,42.3725132327
3382.57863027,5473.14042627,129.546133394,66.9267699775
3796.11643553,5696.2613491,242.871216896,87.528778906
4003.10893706,5643.27795996,369.733143942,109.856048363
4173.53956605,5632.57199394,494.508110684,134.895400156
4309.43124049,5635.09773799,609.012151711,161.319208785
4413.6367604,5635.46432109,709.653836464,188.018871185
4491.94150458,5630.60038094,795.745728472,214.203179405
4549.84781944,5621.03827728,868.05318051,239.317226241
4591.95039016,5608.1695454,927.973179715,262.98906402
4621.95094272,5593.38837409,977.107045404,284.989784224
4642.7866691,5577.83814786,1017.04418223,305.200794652
4656.76522104,5562.36902997,1049.25796776,323.586690231
4665.68418195,5547.5678627,1075.06167838,340.173007424
4670.93173924,5533.80793153,1095.59654353,355.028275987
4673.56988531,5521.29892759,1111.83664639,368.249790013
4674.40250081,5510.13041449,1124.6021586,379.952534862
4674.0306953,5500.30723926,1134.57612895,390.26074249
4672.89752882,5491.77727773,1142.32215475,399.301599045
4671.32393912,5484.45255606,1148.30147963,407.200687162
4669.53742026,5478.22491701,1152.88876911,414.078805143
4667.69475568,5472.97732509,1156.38623046,420.049861996
4665.89990011,5468.59176188,1159.03598355,425.219599158
4664.21792731,5464.95450688,1161.03072704,429.684935474
4662.68580844,5461.95945297,1162.52281766,433.533771593
4661.32065565,5459.50997551,1163.63191651,436.845123512
4660.12595436,5457.51976359,1164.45136855,439.689483043
4659.09621269,5455.9129298,1165.05348082,442.129326212
4658.22037684,5454.62363917,1165.49385551,444.219709441
4657.48429321,5453.59543722,1165.81492101,446.008908641
4656.87244251,5452.78040905,1166.04878909,447.539068485
4656.36912411,5452.13826343,1166.21955066,448.846838676
4655.95923108,5451.63540708,1166.34510765,449.963981494
4655.62872522,5451.24405238,1166.43862465,450.917940575
4655.36489641,5450.94138526,1166.50967098,451.732365179
4655.15647057,5450.70880852,1166.56511268,452.427587391
4654.99361474,5450.53126676,1166.60980376,453.021051958
4654.86787534,5450.39665407,1166.64711766,453.527700076
4654.77207579,5450.29530108,1166.67935228,453.960309504
4654.70019263,5450.219536,1166.70803567,454.329794024
4654.6472231,5450.1633129,1166.73415452,454.645465631
4654.60905326,5450.12189979,1166.75832283,454.915262966
4654.58233239,5450.0916193,1166.78090483,455.145949485
4654.56435706,5450.06963461,1166.8021032,455.34328472
4654.55296676,5450.05377423,1166.82202114,455.512171806
3435.42703258,6851.80508507,1041.77392295,398.080290017
