Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1785.0,900.0,300.0,15.0
3247.96851683,4608.91134483,369.712278361,59.552553438
4015.34582638,5866.68956456,435.971846466,93.7692386578
4115.26612091,5673.84384527,521.488247214,119.886476248
4228.08476701,5596.95244073,611.925595482,147.115670042
4337.56483744,5583.26947684,699.816771807,174.749268523
4426.20475697,5581.64832817,779.695481861,201.814714898
4494.46417848,5579.73341338,849.447147928,227.746713019
4545.91190912,5575.02263262,908.874198483,252.193980374
4584.05915603,5567.62211421,958.672438286,274.943481012
4611.86821903,5558.30663943,999.899345437,295.884434438
4631.74007922,5547.90954569,1033.70740397,314.983279843
4645.58803729,5537.13209685,1061.21351052,332.263791166
4654.92026624,5526.50189588,1083.43893741,347.790931813
4660.91459814,5516.38447128,1101.286236,361.657850928
4664.48243727,5507.01130714,1115.53541735,373.975579989
3883.74075311,4679.95371639,1048.55370375,376.425661633
3873.69139601,5100.46502854,949.768624154,378.962661054
3881.77624032,5322.38233885,859.078736995,375.884190774
3892.36739927,5443.23246545,785.113708978,369.667327107
3905.47561115,5518.904434,728.883986059,362.110144689
3917.20487907,5568.31669036,687.67794539,354.183107355
3926.04511947,5600.74911508,658.028882911,346.419585048
3932.07971721,5621.97242616,636.8625259,339.106777887
3935.92399716,5635.82209496,621.772128188,332.385893024
3938.23023349,5644.85773934,610.980048229,326.310477363
3939.52470547,5650.76835244,603.213182469,320.882098785
3940.18483395,5654.65512566,597.575015282,316.072598276
3940.46359843,5657.22983644,593.439627688,311.838011484
3940.52300086,5658.95050596,590.371406314,308.127214114
3940.46320986,5660.11171054,588.066988031,304.887199431
3940.34429436,5660.90344664,586.314382996,302.066204022
3940.20117828,5661.44893922,584.964632356,299.61546361
3940.05342904,5661.82871165,583.912320004,297.490103402
3939.9114471,5662.09585018,583.082219962,295.64948895
3939.7802809,5662.28568776,582.420149332,294.057248143
3939.66193105,5662.42197051,581.886688245,292.681100114
3939.55671848,5662.52081003,581.452851098,291.492578209
3939.46408392,5662.59323781,581.097087328,290.466702385
3939.38304739,5662.64687214,580.803190792,289.58163568
3939.31246676,5662.68701691,580.558832766,288.818345849
3939.25117907,5662.71739318,580.354525188,288.160284422
3939.19807413,5662.74063103,580.182882429,287.593089727
3939.15212939,5662.75860314,580.038091434,287.104316775
3939.11242319,5662.77265281,579.915528266,286.683194582
3939.07813619,5662.78375104,579.811478122,286.320410164
3939.04854659,5662.79260532,579.722929027,286.007917576
3939.02302245,5662.79973554,579.647418323,285.738770019
3939.00101285,5662.80552712,579.582917285,285.506972834
3938.98203899,5662.81026849,579.527743477,285.307355208
3938.96568563,5662.81417762,579.480493472,285.135458504
4427.90350677,6231.2485816,621.202371765,290.510783261
4486.36101763,5976.58045627,694.097740595,295.21005348
4552.61955054,5852.07754575,772.986995721,303.707420512
4611.49355049,5785.91972445,848.130152589,314.623137998
4654.04456787,5738.36136103,914.448849711,326.744637234
4682.21888076,5698.59334313,970.44184937,339.278679349
4699.40679409,5663.44667349,1016.38938219,351.682214803
4708.59808905,5631.96744396,1053.32725502,363.587009343
4712.16148048,5603.8694446,1082.53945904,374.755709274
4711.9050417,5579.025998,1105.31453544,385.049381694
4709.17840898,5557.30463542,1122.83500688,394.401943815
4704.96943808,5538.52540073,1136.13453748,402.799898012
4699.985935,5522.46293352,1146.08935278,410.266429493
4694.72203888,5508.86166017,1153.42638666,416.849113197
4689.51107321,5497.45241489,1158.73884987,422.610577052
4684.56707983,5487.96642849,1162.50428455,427.62155325
4680.01711,5480.14568682,1165.10253981,431.955830116
4675.92606828,5473.74984573,1166.8324071,435.686694173
4672.3156143,5468.56028877,1167.92637356,438.884522702
4669.17836488,5464.38198539,1168.56334492,441.615249996
4666.48841128,5461.04375126,1168.87939822,443.939484955
4664.2089747,5458.39741213,1168.9767284,445.912103814
4662.29786143,5456.31626729,1168.93099647,447.582180239
4660.71124587,5454.69315301,1168.79729717,448.993146567
4659.40619877,5453.43832504,1168.61495582,450.183105499
4658.34228814,5452.47731433,1168.41134647,451.185232011
4657.48250666,5451.74885869,1168.20490201,452.028221362
4656.79372065,5451.20297521,1168.00746407,452.736751712
4656.24678858,5450.79920919,1167.82609927,453.331939579
4655.81645973,5450.50507546,1167.66448765,453.831773717
4655.48113498,5450.29469383,1167.52397181,454.251518572
4655.22254866,5450.14761104,1167.40433907,454.60408247
4655.02541341,5450.04779616,1167.30439582,454.90034865
4654.87705699,5449.98279316,1167.22238155,455.149469238
4654.76706996,5449.94301292,1167.15626079,455.359123634
4654.68697616,5449.92114732,1167.10392286,455.535743642
4654.62993272,5449.91168827,1167.06331326,455.68470811
4654.5904625,5449.91053641,1167.03251497,455.810510123
4654.56421959,5449.91468501,1167.00979382,455.916899767
4654.54778668,5449.92196686,1166.9936187,456.00700541
4654.5385021,5449.93085318,1166.98266469,456.083436264
4654.53431391,5449.94029507,1166.97580504,456.148368771
4654.53365791,5449.94959964,1166.97209644,456.203619099
4654.53535678,5449.9583341,1166.97076067,456.250703796
4654.53853724,5449.96625222,1166.97116479,456.290890396
4654.54256277,5449.97323846,1166.97280133,456.325239545
4654.5469793,5449.97926616,1166.97526949,456.354639997
4654.55147181,5449.98436654,1166.97825777,456.379837648
4654.55582992,5449.98860623,1166.98152845,456.401459586
3435.43643039,6851.72270078,1041.91748164,398.880317159
