"Lake, winter_female","Lake, winter_male","Lake, summer_female","Lake, summer_male",Tributary 1_female,Tributary 1_male,Tributary 2_female,Tributary 2_male
96347.4500507,0.00015892842792,12464.4327678,2.65033357164e-05,62322.1582243,0.000132516678582,79532.9797892,1.76688904776e-05
96347.4501008,0.000128583784838,12464.4327762,2.14429807293e-05,62322.1582661,0.000107214903647,79532.9797949,1.42953204862e-05
96347.4501414,0.000104032928152,12464.4327829,1.73488132769e-05,62322.1583,8.67440663843e-05,79532.9797996,1.15658755179e-05
96347.4501742,8.41696342473e-05,12464.4327884,1.40363565082e-05,62322.1583273,7.01817825411e-05,79532.9798034,9.35757100547e-06
96347.4502008,6.80988938325e-05,12464.4327928,1.13563562465e-05,62322.1583495,5.67817812324e-05,79532.9798064,7.57090416432e-06
96347.4502223,5.50965842098e-05,12464.4327964,9.18805582642e-06,62322.1583674,4.59402791321e-05,79532.9798089,6.12537055094e-06
96347.4502397,4.45768414249e-05,12464.4327993,7.43375498594e-06,62322.1583819,3.71687749297e-05,79532.9798109,4.95583665729e-06
96347.4502538,3.60656621445e-05,12464.4328017,6.01440764346e-06,62322.1583936,3.00720382173e-05,79532.9798125,4.00960509564e-06
96347.4502652,2.91795457986e-05,12464.4328036,4.86606020378e-06,62322.1584031,2.43303010189e-05,79532.9798138,3.24404013585e-06
96347.4502744,2.36082146393e-05,12464.4328051,3.93696990801e-06,62322.1584108,1.96848495401e-05,79532.9798149,2.62464660534e-06
96347.4502818,1.91006331045e-05,12464.4328063,3.18527338493e-06,62322.158417,1.59263669247e-05,79532.9798157,2.12351558995e-06
96347.4502879,1.54536965445e-05,12464.4328073,2.57710035226e-06,62322.158422,1.28855017613e-05,79532.9798164,1.7180669015e-06
96347.4502927,1.25030796405e-05,12464.4328081,2.08504747411e-06,62322.1584261,1.04252373705e-05,79532.979817,1.39003164941e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
