Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1725.0,900.0,300.0,75.0
3188.14626771,4464.74601821,350.310467835,282.941939705
3956.40295554,5689.7884488,418.563492006,418.414526955
4069.93883371,5546.54786231,517.37082529,500.27106588
4180.96542952,5479.68789731,623.513212173,577.739353938
4288.93845553,5469.09520504,726.458208065,651.170339179
4378.33668156,5469.70888086,820.141118311,718.288870652
4449.16698859,5470.05599601,902.551220105,778.260397517
4504.44209037,5467.75493234,973.693031878,830.98462044
4547.23167368,5462.86841076,1034.39576823,876.757657245
4580.15253246,5456.08317287,1085.77429556,916.095750105
4605.33219102,5448.13992099,1128.99235033,949.622687487
4624.46972447,5439.66052085,1165.16001194,977.996656241
4638.91089192,5431.11387168,1195.29173256,1001.86454582
4649.71678419,5422.82894818,1220.29240993,1021.8351535
4657.7214337,5415.02087795,1240.95675699,1038.46503446
3170.68032404,3853.02938277,1105.09616148,970.186789838
3417.50910541,4828.94155465,943.792281101,939.663810253
3409.22120733,4947.94128681,821.951714919,873.814011686
3354.78903056,4907.87710938,729.921671487,807.250708226
3299.13278106,4850.71537623,660.202666007,749.546338287
3250.06703007,4801.11407674,606.050839026,701.525130669
3209.79652573,4762.5123167,563.103126534,662.089831357
3177.94726186,4733.4389899,528.647906748,629.880947985
3153.09276498,4711.60411052,500.868135813,603.654589033
3133.70030501,4695.04682576,478.432221292,582.345779927
3118.48812423,4682.32511835,460.305316532,565.061062783
3106.47619676,4672.42814127,445.660613817,551.058102856
3096.93502341,4664.64991232,433.830836334,539.724378678
3089.32084709,4658.48920418,424.276074457,530.557284351
3083.22326958,4653.58171524,416.559460259,523.146211987
3078.32790762,4649.65639227,410.32769703,517.15682619
3074.39068589,4646.50743927,405.295221962,512.317558894
3071.2200706,4643.97604916,401.231305865,508.408210676
3068.6645342,4641.93813506,397.949568238,505.250454615
3066.6034818,4640.29582708,395.299474826,502.699999222
3064.94052126,4638.97139836,393.159453994,500.640163305
3063.59836664,4637.90280844,391.431329427,498.976632699
3062.51491415,4637.04035823,390.035820265,497.633195162
3061.64018164,4636.34413249,388.908905419,496.548278686
3060.93389845,4635.7820158,387.998886776,495.672146214
3060.36359365,4635.32813591,387.264017317,494.964624765
3059.90307153,4634.96163209,386.670585638,494.393268526
3059.5311913,4634.66567463,386.191369147,493.931873766
3059.23088754,4634.42668063,385.804385013,493.559278621
3058.9883824,4634.23368492,385.491881549,493.258393353
3058.7925511,4634.07783414,385.239523781,493.015416956
3058.63441055,4633.95197938,385.03573578,492.819204382
3058.50670672,4633.85034769,384.871169611,492.660755472
3058.40358171,4633.76827715,384.738276499,492.532802192
3058.32030503,4633.70200301,384.630960538,492.4294753
3630.64587559,5347.87779283,426.909018135,526.422620932
4203.42023308,5982.95507361,509.578254156,585.964184545
4344.90004635,5851.24845508,618.467461877,634.834955039
4437.36813372,5742.14064301,728.048920816,690.148029089
4513.66586034,5680.58368431,829.07949807,747.752478201
4571.05495446,5636.72581788,917.776227803,802.934538302
4612.29458065,5600.27530004,993.52489678,853.265376262
4641.14630724,5568.08010575,1057.16043569,897.744512084
4660.83719395,5539.19772021,1110.0367457,936.190964491
4673.8764019,5513.35003351,1153.61513578,968.879759368
4682.15033122,5490.41373722,1189.29157457,996.31892522
4687.05523144,5470.26058828,1218.32918035,1019.11370176
4689.61497665,5452.7208701,1241.83768468,1037.88622239
4690.57494966,5437.58775225,1260.77419451,1053.23031412
4690.47387862,5424.63216799,1275.95351976,1065.68823123
4689.69783419,5413.61755908,1288.06245254,1075.74082329
4688.52050199,5404.31137066,1297.67519362,1083.80569633
4687.13312311,5396.4929422,1305.26848974,1090.23991295
4685.66672628,5389.95833703,1311.23575503,1095.34506382
4684.20862519,5384.5228392,1315.89983866,1099.37337269
4682.81464828,5380.02178541,1319.52432239,1102.53403085
4681.51818879,5376.31027065,1322.32335896,1104.99929772
4680.3368823,5373.26213574,1324.47013345,1106.91012035
4679.27751201,5370.76853423,1326.10406701,1108.38115896
4678.33959034,5368.73628914,1327.33689778,1109.50518792
4677.51795228,5367.08618344,1328.25777673,1110.3568895
4676.80461299,5365.75127966,1328.93751043,1110.99608401
4676.19007895,5364.67532844,1329.43207323,1111.47045288
4675.66425559,5363.81130044,1329.78549934,1111.81781506
4675.21705874,5363.12005883,1330.03225255,1112.06801647
4674.83881054,5362.56917722,1330.199159,1112.24448835
4674.52048027,5362.13190018,1330.30697659,1112.36552528
4674.25381526,5361.78623873,1330.37166383,1112.44532777
4674.03139525,5361.51418999,1330.40540133,1112.4948487
4673.84663499,5361.30106923,1330.41741082,1112.52247712
4673.69375301,5361.13494189,1330.41460885,1112.53458841
4673.56771967,5361.0061434,1330.40212646,1112.53598465
4673.46419379,5360.90687559,1330.38372041,1112.53024572
4673.37945422,5360.83086898,1330.36209702,1112.52000789
4673.31033086,5360.77310165,1330.33916608,1112.50718378
4673.25413808,5360.72956606,1330.31623876,1112.4931353
4673.20861217,5360.69707661,1330.29418113,1112.47880877
4673.17185401,5360.6731112,1330.27353237,1112.46484009
4673.14227731,5360.65568155,1330.25459535,1112.45163589
4673.11856249,5360.64322722,1330.23750535,1112.43943596
4673.09961617,5360.63452941,1330.22228183,1112.42836073
4673.08453575,5360.6286411,1330.208867,1112.41844725
4673.07257885,5360.62483063,1330.19715426,1112.40967605
4673.06313697,5360.62253621,1330.18700879,1112.40199107
3406.96572183,6941.65058074,1187.27335319,940.360983308
