Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1785.0,900.0,300.0,15.0
3247.96851683,4608.91134483,369.712278361,59.552553438
4015.34582638,5866.68956456,435.971846466,93.7692386578
4115.26612091,5673.84384527,521.488247214,119.886476248
4228.08476701,5596.95244073,611.925595482,147.115670042
4337.56483744,5583.26947684,699.816771807,174.749268523
4426.20475697,5581.64832817,779.695481861,201.814714898
4494.46417848,5579.73341338,849.447147928,227.746713019
4545.91190912,5575.02263262,908.874198483,252.193980374
4584.05915603,5567.62211421,958.672438286,274.943481012
4611.86821903,5558.30663943,999.899345437,295.884434438
4631.74007922,5547.90954569,1033.70740397,314.983279843
4645.58803729,5537.13209685,1061.21351052,332.263791166
4654.92026624,5526.50189588,1083.43893741,347.790931813
4660.91459814,5516.38447128,1101.286236,361.657850928
4664.48243727,5507.01130714,1115.53541735,373.975579989
2090.41024337,2740.27064499,877.157737902,356.805513155
2311.72476261,3683.79222936,654.150397633,342.909066687
1775.73368211,2801.5387915,494.441688982,311.456288896
1311.26225532,2058.55191752,372.079492695,278.587072496
983.894372562,1545.38190329,280.885129042,247.498785296
754.085097365,1187.60560991,213.317010722,218.794658531
587.950525145,929.009224765,163.195859372,192.637020755
464.282759088,735.998254168,125.868778072,169.037079382
370.089140676,588.422535708,97.9139597718,147.915604155
297.103929125,473.590929735,76.8365843872,129.134953089
239.821856163,383.08779805,60.8235017629,112.523276789
194.424978927,311.081762004,48.5574963506,97.8925098431
158.176793588,253.385752176,39.0802747581,85.0509692098
129.063423841,206.906876795,31.6927195744,73.8116858916
105.571186259,169.308701138,25.8827956689,63.9975715161
86.5430190684,138.79492894,21.2736466764,55.4443328914
71.0824894728,113.965491939,17.5862972606,48.0018354342
58.4876003873,93.7175127781,14.6128636223,41.5344316841
48.2038956126,77.1750751669,12.1973001059,35.9206250709
39.7904467031,63.6381055195,10.2215412152,31.0523289286
32.8946783505,52.5443279093,8.59550404833,26.833899899
27.233411632,43.4404173947,7.24985353167,23.1810666535
22.5783810267,35.9597918657,6.1307468573,20.01983354
18.7450353159,29.8053034304,5.19599814108,17.2854098129
15.5837914939,24.7356161853,4.41226456736,14.9211950812
12.9731488614,20.5544028036,3.75296943722,12.8778379502
10.8142318912,17.1017253765,3.19675877595,11.1123756844
9.02644230485,14.2471270252,2.72634595461,9.58745672126
7.54397991754,11.8840748712,2.32763991298,8.27064406841
6.31304886908,9.92547759261,1.98908186252,7.13379532186
5.28960776083,8.30006190123,1.7011362339,6.15251377937
4.43755348353,6.9494382938,1.45589654958,5.30566453858
3.72725219176,5.82572162915,1.24677757963,4.57494933679
3.1343490227,4.88959935955,1.06827280243,3.94453403859
2.63880220878,4.10876160401,0.915761711067,3.40072299787
3.03230609493,4.53914301221,0.83644059058,2.94143278485
8.21254484321,13.6709853999,0.82146920688,2.62268414427
24.9197282986,42.9001882408,0.99582982778,2.54553993682
76.8274291694,133.484506136,1.7248433291,3.08190732325
233.667588487,406.593582438,4.15494657218,5.35205865146
673.189020185,1168.06925551,11.7119233105,12.2826316864
1666.24703175,2859.86526903,33.6614300036,28.8174403219
2979.81142934,4950.8389718,88.415093766,53.892482144
3667.46982355,5692.93183912,187.849682626,76.1397851614
3915.87238251,5659.53609574,311.838272634,97.4936252058
4101.17073766,5632.80293202,439.127832453,121.752951395
4252.62706803,5633.12107342,559.048929697,147.959872145
4370.34986711,5635.47495354,666.177744804,174.856924989
4459.52068493,5633.11872686,758.78239984,201.528670444
4525.93829846,5625.58154564,837.130238694,227.327219905
4574.61747875,5614.06274495,902.415038607,251.808243528
4609.64420029,5600.01815193,956.186938742,274.686591772
4634.27891335,5584.72086055,1000.06032544,295.800792093
4651.09388023,5569.15333721,1035.56925428,315.083612052
4662.10052592,5554.01591834,1064.10164069,332.537774708
4668.85841837,5539.77191173,1086.87570055,348.216219702
4672.56594299,5526.69903075,1104.93882456,362.206332211
4674.13478395,5514.93625809,1119.17791757,374.617568456
4674.25063715,5504.52292903,1130.33505461,385.571932993
4673.42240262,5495.42981893,1139.02500245,395.196808353
4672.02181205,5487.58309429,1145.75269803,403.619693769
4670.3151559,5480.8822835,1150.92967021,410.964469415
4668.48851544,5475.21341085,1154.88891577,417.34886097
4666.66768191,5470.45831395,1157.89804637,422.882833429
4664.9337549,5466.50100969,1160.17069975,427.66769154
4663.33524883,5463.23182155,1161.87630612,431.795706505
4661.89739736,5460.54984304,1163.1483511,435.3501247
4660.62922618,5458.36419283,1164.091298,438.405444572
4659.52886286,5456.59441685,1164.78633637,441.027873138
4658.58746629,5455.17030995,1165.29611761,443.275894167
4657.79208509,5454.03136248,1165.66862703,445.200896925
4657.12769379,5453.12598375,1165.9403269,446.847827783
4656.57860478,5452.41061221,1166.13869011,448.255837639
4656.12941235,5451.8487894,1166.28422831,449.458906407
4655.76559119,5451.41024999,1166.39210428,450.486432261
4655.47384417,5451.07006162,1166.47340461,451.363778172
4655.24227209,5450.80783411,1166.53613723,452.11277193
4655.06042049,5450.60700842,1166.58600718,452.752158476
4654.91924468,5450.45422812,1166.62701538,453.298005248
4654.81102346,5450.33879201,1166.66191681,453.764062532
4654.72924343,5450.25218324,1166.692568,454.162081594
4654.66846952,5450.18766871,1166.72018792,454.502093901
4654.62421236,5450.13996159,1166.74555178,454.79265489
4654.59279965,5450.10493947,1166.76913315,455.041055835
3435.46972952,6851.84262351,1041.72641181,397.656615998
