Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1785.0,900.0,300.0,15.0
3247.96851683,4608.91134483,369.712278361,59.552553438
4015.34582638,5866.68956456,435.971846466,93.7692386578
4115.26612091,5673.84384527,521.488247214,119.886476248
4228.08476701,5596.95244073,611.925595482,147.115670042
4337.56483744,5583.26947684,699.816771807,174.749268523
4426.20475697,5581.64832817,779.695481861,201.814714898
4494.46417848,5579.73341338,849.447147928,227.746713019
4545.91190912,5575.02263262,908.874198483,252.193980374
4584.05915603,5567.62211421,958.672438286,274.943481012
4611.86821903,5558.30663943,999.899345437,295.884434438
4631.74007922,5547.90954569,1033.70740397,314.983279843
4645.58803729,5537.13209685,1061.21351052,332.263791166
4654.92026624,5526.50189588,1083.43893741,347.790931813
4660.91459814,5516.38447128,1101.286236,361.657850928
4664.48243727,5507.01130714,1115.53541735,373.975579989
4666.32212568,5498.51004911,1126.84991713,384.865028058
4666.96295347,5490.93163665,1135.78715749,394.450901591
4666.80114179,5484.27280824,1142.81085255,402.857208046
4666.12904559,5478.49392426,1148.30349977,410.204041265
4665.15868415,5473.53261654,1152.57823262,416.605387157
4664.0405624,5469.31394001,1155.8896304,422.167727907
4662.87860963,5465.75769928,1158.44332283,426.989259709
4661.74193982,5462.78355438,1160.4043655,431.159572087
4660.6740288,5460.31441964,1161.90443917,434.759665795
4659.69980792,5458.27857922,1163.04796623,437.862211041
4658.83109031,5456.6108595,1163.91725587,440.531968728
4658.07067382,5455.25312658,1164.57679457,442.826314766
4657.41540246,5454.15431637,1165.07679542,444.795821833
4656.858416,5453.27015498,1165.45611273,446.484864512
4656.39077243,5452.56268712,1165.7446186,447.932223037
4656.00259165,5451.99969838,1165.96512774,449.171668212
4655.68383754,5451.55409247,1166.13494592,450.232515815
4655.42483075,5451.20326563,1166.2671077,451.140143172
4655.21656424,5450.92850589,1166.37135907,451.916463952
4655.05087677,5450.71443448,1166.45493252,452.580359657
4654.92052674,5450.54849854,1166.52315417,453.148068087
4654.81919818,5450.42051947,1166.57991605,453.633530262
4654.74146267,5450.32229667,1166.62804072,454.048698123
4654.68271425,5450.2472647,1166.66956077,454.403805803
4654.63909008,5450.19019997,1166.70593108,454.707607552
4654.60738519,5450.14697231,1166.73818883,454.967585442
4654.5849675,5450.11433651,1166.76707285,455.190129967
4654.56969668,5450.08975887,1166.79311166,455.380696521
4654.55984924,5450.07127401,1166.81668783,455.543940545
4654.55405114,5450.05736753,1166.83808417,455.683833931
4654.55121807,5450.04688057,1166.8575166,455.803765046
4654.55050372,5450.03893267,1166.8751569,455.906624492
4654.55125524,5450.03285986,1166.8911483,455.994878512
4654.5529757,5450.0281654,1166.90561577,456.070631714
4654.55529251,5450.02448069,1166.91867255,456.135680615
3435.42659936,6851.77295315,1041.86080051,398.641096315
