"Lake, winter","Lake, summer",Tributary 1,Tributary 2
40000.0,0.0,0.0,0.0
138750.387577,5389.39181285,26947.6580389,345191.467682
98582.1429281,16314.7204311,81573.5752277,20632.0238664
93033.8639649,13122.0771193,65610.3848261,56056.1973485
93920.1650789,12188.6819709,60943.4061252,76365.5417432
93261.0624447,12164.6721886,60823.3555634,75075.9444715
93405.0265445,12080.297567,60401.4825559,77109.002739
93649.0110601,12084.8482826,60424.2359693,77853.5556286
94013.8160206,12111.8597013,60559.2930042,78544.7744704
94382.6322793,12155.9402064,60779.6954768,78928.2749826
94727.9777127,12202.8665175,61014.3270045,79176.2539779
95028.6471295,12247.7055891,61238.5223451,79315.6303049
95281.7927296,12287.342417,61436.7064762,79396.0823769
95489.7434751,12321.0132312,61605.0605429,79440.5176856
95658.2929085,12348.8478673,61744.2337216,79465.8063904
95793.8085611,12371.4976081,61857.4824252,79480.7742391
95902.3731516,12389.7535164,61948.7619664,79490.526017
95989.2565527,12404.3984678,62021.9867236,79497.5950709
96058.833951,12416.1257982,62080.6233758,79503.2297727
96114.6352199,12425.5181888,62127.5853292,79507.9790828
96159.4691692,12433.0495295,62165.2420328,79512.0753076
96195.5556521,12439.0986557,62195.4876637,79515.6147374
96224.6469697,12443.9657408,62219.8230893,79518.6489509
96248.1288591,12447.887982,62239.4342954,79521.2207846
96267.101093,12451.0529727,62255.259249,79523.3760701
96282.4401106,12453.6095184,62268.0419776,79525.1643082
96294.847193,12455.676113,62278.3749503,79526.6359911
96304.8854366,12457.3474871,62286.7318207,79527.8396075
96313.0082507,12458.6996439,62293.4926047,79528.8195033
96319.5814853,12459.7937401,62298.963086,79529.6147479
147462.743536,12460.6790962,262303.389866,79530.2588171
134348.986693,15516.9552334,277584.770552,10714.1135141
121748.410419,13637.0927301,268185.463621,9484.00122033
110730.920762,11837.9348512,259189.674225,8501.2119369
101732.697289,10330.9655033,251654.827469,7788.03780242
94514.9107909,9112.0804373,245560.402116,7289.65062408
88753.5801253,8136.07500264,240680.374917,6930.89546606
84155.845084,7357.04774392,236785.238601,6645.97775554
80477.2396377,6735.34561306,233676.727928,6389.0156353
77520.0522557,6238.11010733,231190.550387,6135.10267466
75127.7077892,5838.7217682,229193.608685,5875.5618946
73178.1011723,5516.01819771,227580.090832,5611.41172329
71576.9450603,5253.4328241,226267.163968,5347.88025342
70251.7648766,5038.13571135,225190.678411,5090.92965382
69146.8526934,4860.24759366,224301.237832,4845.55028475
68219.234875,4712.16995582,223560.849653,4615.20580137
67435.5569634,4588.04323348,222940.216051,4401.8782971
66769.7279735,4483.32438679,222416.621828,4206.35327047
66201.1602525,4394.46535552,221972.326682,4028.55098393
65713.4610355,4318.67178109,221593.358819,3867.81907869
14155.6170582,4253.7232188,21268.6160161,3723.16028547
52450.4353062,1142.27969119,6086.24819054,153980.108111
175464.577376,5844.08089117,29220.420444,459183.483842
119744.855882,20392.8109099,101964.01866,15924.3419345
103262.384318,15977.2743347,79886.3714881,36214.0257002
101074.741279,13710.1829268,68550.9126188,70754.2444971
98936.0522428,13178.4619388,65892.304837,74322.5285795
97545.4685326,12857.1975442,64285.9825548,75934.0652019
96827.6096904,12655.4558483,63277.273931,77423.8303808
96467.2395828,12546.5708894,62732.8490089,78328.6401544
96316.2401487,12490.518522,62452.5870946,78910.7186164
96267.702121,12465.3894239,62326.9415553,79238.6281245
96266.5007474,12456.136672,62280.6777688,79416.7440648
96282.1984605,12454.5014656,62272.5017219,79503.2554692
96300.9101537,12455.8971081,62279.4799274,79540.3949172
96316.9232383,12458.1079555,62290.5341616,79552.1570048
96328.7754191,12460.1655604,62300.8221852,79552.5557982
96336.7602229,12461.7573711,62308.7812391,79548.7733134
96341.7619134,12462.8633051,62314.3109093,79544.2586254
96344.6928041,12463.5738377,62317.8635728,79540.3818066
96346.294959,12464.0003914,62319.9963419,79537.5106687
96347.1001379,12464.2397928,62321.1933487,79535.5743606
96347.4585378,12464.3641925,62321.8153479,79534.3608715
96347.5850922,12464.4224775,62322.1067727,79533.6493632
96347.6032546,12464.4454027,62322.2213986,79533.2602472
96347.5789661,12464.4510701,62322.2497358,79533.0645937
96347.544356,12464.4494221,62322.2414957,79532.9774643
96347.5130017,12464.4454861,62322.2218158,79532.9466836
96347.4891138,12464.4415216,62322.2019932,79532.9422684
96347.4727029,12464.4383435,62322.1861027,79532.9481914
96347.4622726,12464.436086,62322.1748152,79532.9566373
96347.4560866,12464.4346125,62322.1674476,79532.9642986
96347.4526704,12464.4337166,62322.1629683,79532.9701466
96347.4509392,12464.4332085,62322.1604278,79532.9741749
96347.4501652,12464.4329422,62322.1590965,79532.9767455
96347.4498946,12464.4328168,62322.1584695,79532.9782795
96347.4498631,12464.4327678,62322.1582242,79532.9791355
96347.449927,12464.4327565,62322.1581677,79532.9795774
96347.4500152,12464.4327614,62322.1581926,79532.9797829
96347.4500968,12464.4327716,62322.1582436,79532.9798626
96347.4501615,12464.432782,62322.1582953,79532.9798816
96347.4502087,12464.4327906,62322.1583381,79532.9798752
96347.4502415,12464.432797,62322.1583702,79532.9798611
96347.4502634,12464.4328015,62322.1583929,79532.9798472
96347.4502779,12464.4328046,62322.1584083,79532.9798362
96347.4502875,12464.4328066,62322.1584185,79532.9798286
96347.4502939,12464.432808,62322.1584253,79532.9798237
96347.4502983,12464.4328089,62322.1584299,79532.9798209
96347.4503015,12464.4328095,62322.158433,79532.9798194
96347.4503038,12464.43281,62322.1584352,79532.9798187
96347.4503056,12464.4328103,62322.1584368,79532.9798185
0.0,0.0,0.0,0.0
