Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1725.0,900.0,300.0,75.0
3188.14626771,4464.74601821,350.310467835,282.941939705
3956.40295554,5689.7884488,418.563492006,418.414526955
4069.93883371,5546.54786231,517.37082529,500.27106588
4180.96542952,5479.68789731,623.513212173,577.739353938
4288.93845553,5469.09520504,726.458208065,651.170339179
4378.33668156,5469.70888086,820.141118311,718.288870652
4449.16698859,5470.05599601,902.551220105,778.260397517
4504.44209037,5467.75493234,973.693031878,830.98462044
4547.23167368,5462.86841076,1034.39576823,876.757657245
4580.15253246,5456.08317287,1085.77429556,916.095750105
4605.33219102,5448.13992099,1128.99235033,949.622687487
4624.46972447,5439.66052085,1165.16001194,977.996656241
4638.91089192,5431.11387168,1195.29173256,1001.86454582
4649.71678419,5422.82894818,1220.29240993,1021.8351535
4657.7214337,5415.02087795,1240.95675699,1038.46503446
4598.53616699,5407.8175381,1031.86671046,860.029314543
4531.24947473,5383.75092204,907.908605533,750.784943054
4478.058811,5366.15860638,831.178494918,683.810630743
4439.098604,5355.58602696,782.189547781,642.308727817
4411.29226004,5349.95489293,750.142844965,616.214956122
4391.82668753,5347.61328489,728.778478712,599.558975145
4378.50252303,5347.41704081,714.333544759,588.778243746
4369.64593034,5348.56698809,704.474036027,581.719895451
4363.99326872,5350.49771329,697.711185617,577.06155101
4360.59782306,5352.81164917,693.070951958,573.975727409
4358.75741869,5355.23638828,689.901334543,571.934329445
4357.95780173,5357.59361,687.757168183,570.593674847
4357.82805423,5359.77482184,686.329552047,569.726007305
4358.10549745,5361.72203405,685.401530948,569.178035209
4358.60821511,5363.41249998,684.819529977,568.845340849
4359.21372624,5364.8469322,684.474448309,568.656234917
4359.84260381,5366.04065667,684.288820128,568.561328345
4360.44603983,5367.01718263,684.207889477,568.526636353
4360.99652798,5367.80369732,684.193282312,568.528916446
4361.48098114,5368.42804721,684.218451013,568.552455537
4361.89572799,5368.91683205,684.265360176,568.586821492
4362.24294158,5369.29430623,684.322061057,568.625272288
4362.52814428,5369.58184552,684.380913159,568.663623165
4362.75851047,5369.79779411,684.437282783,568.699438233
4362.94175097,5369.95755382,684.488595564,568.731454791
4363.08541406,5370.07381592,684.533652438,568.759175842
4363.19647884,5370.15686563,684.572141415,568.782584559
4363.28114817,5370.2149123,684.604294291,568.8019471
4363.34477382,5370.25441508,684.630649865,568.817679136
4363.39186497,5370.2803859,684.651894674,568.830257982
4363.42614609,5370.29666046,684.668759442,568.840166947
4363.45064048,5370.3061331,684.681954949,568.84786215
4363.46776402,5370.31095573,684.692135268,568.853754638
4363.47941906,5370.31270285,684.699879518,568.858202669
4363.48708261,5370.31250606,684.705685756,568.861510491
4398.19566748,5370.311162,805.10036361,665.651717975
4442.08437178,5379.65831861,898.573327236,745.119234013
4482.8293491,5387.38317158,973.489074547,809.988975166
4518.2572341,5392.51873205,1034.61689396,863.022001539
4548.35763541,5395.51578685,1085.03035095,906.53024245
4573.56164626,5396.82935463,1126.86714188,942.35126422
4594.4127588,5396.83086009,1161.70390075,971.931468915
4611.47767958,5395.83626411,1190.75613894,996.412965256
4625.30612663,5394.11925176,1214.99139718,1016.70462766
4636.40818204,5391.91336799,1235.19717977,1033.53650991
4645.24225552,5389.4120275,1252.02421637,1047.5005624
4652.21038557,5386.76986814,1266.01560603,1059.08090947
4657.6584427,5384.1058991,1277.62748833,1068.67642582
4661.87935827,5381.5078797,1287.24438609,1076.61771637
4665.11801217,5379.03723008,1295.19104168,1083.18004884
4667.57684152,5376.73392802,1301.74184171,1088.59335341
4669.42156235,5374.62104439,1307.12851043,1093.05008091
4670.78663484,5372.70873437,1311.54650885,1096.711478
4671.78026827,5370.99761733,1315.16042929,1099.71267359
4672.48887135,5369.48155149,1318.10858475,1102.16685569
4672.98092415,5368.14985104,1320.50693542,1104.16873846
4673.31029001,5366.98901347,1322.45245845,1105.79746434
4673.51901018,5365.98403144,1324.02604281,1107.11904835
4673.6396351,5365.11936171,1325.29497557,1108.18844524
4673.69715042,5364.37961755,1326.31507419,1109.0513022
4673.71055432,5363.75004289,1327.13251155,1109.74544641
4673.69413943,5363.21681769,1327.78537394,1110.30214779
4673.65852708,5362.76723563,1328.30498737,1110.74718982
4673.61149596,5362.38978733,1328.71704316,1111.10177656
4673.55864181,5362.07417567,1329.04255009,1111.38329923
4673.50389902,5361.81128411,1329.29863737,1111.60598284
4673.44995034,5361.5931139,1329.49922952,1111.78143017
4673.39854648,5361.41270233,1329.6556117,1111.91907823
4673.35075367,5361.26403093,1329.77690189,1112.02658025
4673.3071438,5361.14193012,1329.87044391,1112.11012445
4673.26793937,5361.04198486,1329.94213348,1112.17469919
4673.23312273,5360.96044421,1329.99668802,1112.22431304
4673.20251768,5360.89413692,1330.03786905,1112.2621768
4673.17584955,5360.84039388,1330.06866506,1112.29085357
4673.15278868,5360.79697824,1330.09144139,1112.31238228
4673.13298136,5360.76202284,1330.10806262,1112.32837888
4673.11607126,5360.73397517,1330.11999234,1112.34011909
4673.10171366,5360.71154903,1330.12837409,1112.34860591
4673.0895845,5360.69368269,1330.13409692,1112.35462437
4673.07938559,5360.6795027,1330.13784825,1112.35878602
4673.07084703,5360.66829298,1330.14015644,1112.36156472
4673.06372783,5360.65946838,1330.14142483,1112.36332556
4673.05781518,5360.65255236,1330.14195899,1112.36434803
4673.05292292,5360.64715809,1330.14198841,1112.36484452
3406.94341344,6941.69591768,1187.23264076,940.326549009
