"Lake, winter","Lake, summer",Tributary 1,Tributary 2
40000.0,0.0,0.0,0.0
138750.387577,5389.39181285,26947.6580389,345191.467682
98582.1429281,16314.7204311,81573.5752277,20632.0238664
93033.8639649,13122.0771193,65610.3848261,56056.1973485
93920.1650789,12188.6819709,60943.4061252,76365.5417432
93261.0624447,12164.6721886,60823.3555634,75075.9444715
93405.0265445,12080.297567,60401.4825559,77109.002739
93649.0110601,12084.8482826,60424.2359693,77853.5556286
94013.8160206,12111.8597013,60559.2930042,78544.7744704
94382.6322793,12155.9402064,60779.6954768,78928.2749826
94727.9777127,12202.8665175,61014.3270045,79176.2539779
95028.6471295,12247.7055891,61238.5223451,79315.6303049
95281.7927296,12287.342417,61436.7064762,79396.0823769
95489.7434751,12321.0132312,61605.0605429,79440.5176856
95658.2929085,12348.8478673,61744.2337216,79465.8063904
95793.8085611,12371.4976081,61857.4824252,79480.7742391
95902.3731516,12389.7535164,61948.7619664,79490.526017
95989.2565527,12404.3984678,62021.9867236,79497.5950709
96058.833951,12416.1257982,62080.6233758,79503.2297727
96114.6352199,12425.5181888,62127.5853292,79507.9790828
96159.4691692,12433.0495295,62165.2420328,79512.0753076
96195.5556521,12439.0986557,62195.4876637,79515.6147374
96224.6469697,12443.9657408,62219.8230893,79518.6489509
96248.1288591,12447.887982,62239.4342954,79521.2207846
96267.101093,12451.0529727,62255.259249,79523.3760701
96282.4401106,12453.6095184,62268.0419776,79525.1643082
96294.847193,12455.676113,62278.3749503,79526.6359911
96304.8854366,12457.3474871,62286.7318207,79527.8396075
96313.0082507,12458.6996439,62293.4926047,79528.8195033
96319.5814853,12459.7937401,62298.963086,79529.6147479
96324.9007669,12460.6790962,62303.3898661,79530.2588171
96329.2051989,12461.39555,62306.9721355,79530.779815
96332.6882716,12461.9753143,62309.8709571,79531.2009941
96335.5066046,12462.4444524,62312.2166473,79531.5413984
96337.7869826,12462.8240589,62314.1146799,79531.8165201
96339.6320364,12463.1312096,62315.6504333,79532.0389085
96341.1248373,12463.3797268,62316.8930195,79532.2187046
96342.3326187,12463.5807989,62317.8983796,79532.3640939
96343.30979,12463.743481,62318.7117901,79532.4816809
96344.1003793,12463.8751014,62319.3698923,79532.5767957
96344.7400113,12463.9815903,62319.9023366,79532.6537412
96345.2575102,12464.0677459,62320.3331149,79532.7159927
96345.6761969,12464.1374508,62320.6816392,79532.7663587
96346.0149393,12464.1938461,62320.9636157,79532.8071097
96346.2890025,12464.2394732,62321.1917513,79532.8400815
96346.5107367,12464.2763883,62321.3763269,79532.8667592
96346.6901338,12464.3062549,62321.5256599,79532.8883442
96346.8352776,12464.3304189,62321.6464798,79532.9058087
96346.9527084,12464.3499691,62321.7442309,79532.9199391
96347.0477177,12464.3657865,62321.8233178,79532.9313718
96347.1245865,12464.3785838,62321.8873044,79532.9406218
96347.1867785,12464.3889377,62321.9390738,79532.9481058
96347.237096,12464.3973147,62321.9809586,79532.9541609
96347.2778062,12464.4040922,62322.0148463,79532.9590599
96347.3107435,12464.4095757,62322.0422637,79532.9630236
96347.3373919,12464.4140122,62322.0644462,79532.9662304
96347.3589524,12464.4176016,62322.0823933,79532.968825
96347.3763962,12464.4205057,62322.0969137,79532.9709242
96347.3905094,12464.4228553,62322.1086618,79532.9726225
96347.4019279,12464.4247563,62322.1181667,79532.9739967
96347.4111663,12464.4262943,62322.1258568,79532.9751084
96347.4186408,12464.4275387,62322.1320786,79532.9760079
96347.4246881,12464.4285454,62322.1371125,79532.9767356
96347.4295808,12464.42936,62322.1411852,79532.9773244
96347.4335394,12464.430019,62322.1444804,79532.9778008
96347.4367421,12464.4305522,62322.1471463,79532.9781862
96347.4393333,12464.4309836,62322.1493033,79532.978498
96347.4414297,12464.4313326,62322.1510484,79532.9787503
96347.4431259,12464.431615,62322.1524603,79532.9789544
96347.4444982,12464.4318435,62322.1536027,79532.9791196
96347.4456086,12464.4320283,62322.1545269,79532.9792532
96347.4465069,12464.4321779,62322.1552747,79532.9793613
96347.4472337,12464.4322989,62322.1558797,79532.9794487
96347.4478217,12464.4323968,62322.1563691,79532.9795195
96347.4482974,12464.432476,62322.1567652,79532.9795768
96347.4486823,12464.43254,62322.1570856,79532.9796231
96347.4489938,12464.4325919,62322.1573448,79532.9796605
96347.4492457,12464.4326338,62322.1575545,79532.9796909
96347.4494496,12464.4326678,62322.1577242,79532.9797154
96347.4496145,12464.4326952,62322.1578615,79532.9797352
96347.449748,12464.4327175,62322.1579726,79532.9797513
96347.4498559,12464.4327354,62322.1580625,79532.9797643
96347.4499433,12464.43275,62322.1581352,79532.9797748
96347.4500139,12464.4327617,62322.158194,79532.9797833
96347.4500711,12464.4327713,62322.1582416,79532.9797902
96347.4501174,12464.432779,62322.1582801,79532.9797958
96347.4501548,12464.4327852,62322.1583113,79532.9798003
96347.4501851,12464.4327902,62322.1583365,79532.9798039
96347.4502096,12464.4327943,62322.1583569,79532.9798069
96347.4502294,12464.4327976,62322.1583734,79532.9798092
96347.4502454,12464.4328003,62322.1583867,79532.9798112
96347.4502584,12464.4328024,62322.1583975,79532.9798127
96347.4502689,12464.4328042,62322.1584062,79532.979814
96347.4502774,12464.4328056,62322.1584133,79532.979815
96347.4502843,12464.4328067,62322.158419,79532.9798158
96347.4502898,12464.4328077,62322.1584237,79532.9798165
96347.4502943,12464.4328084,62322.1584274,79532.9798171
96347.450298,12464.432809,62322.1584304,79532.9798175
96347.4503009,12464.4328095,62322.1584329,79532.9798179
96347.4503033,12464.4328099,62322.1584349,79532.9798181
96347.4503052,12464.4328102,62322.1584365,79532.9798184
0.0,0.0,0.0,0.0
