Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1725.0,900.0,300.0,75.0
3188.14626771,4464.74601821,350.310467835,282.941939705
3956.40295554,5689.7884488,418.563492006,418.414526955
4069.93883371,5546.54786231,517.37082529,500.27106588
4180.96542952,5479.68789731,623.513212173,577.739353938
4288.93845553,5469.09520504,726.458208065,651.170339179
4378.33668156,5469.70888086,820.141118311,718.288870652
4449.16698859,5470.05599601,902.551220105,778.260397517
4504.44209037,5467.75493234,973.693031878,830.98462044
4547.23167368,5462.86841076,1034.39576823,876.757657245
4580.15253246,5456.08317287,1085.77429556,916.095750105
4605.33219102,5448.13992099,1128.99235033,949.622687487
4624.46972447,5439.66052085,1165.16001194,977.996656241
4638.91089192,5431.11387168,1195.29173256,1001.86454582
4649.71678419,5422.82894818,1220.29240993,1021.8351535
4657.7214337,5415.02087795,1240.95675699,1038.46503446
4468.45129339,5407.8175381,579.650111741,475.582810958
4331.941971,5348.68763958,436.97303091,357.084968482
4264.15515851,5327.74229734,398.021799135,330.62063111
4229.75234189,5324.39175109,383.37054357,323.86007493
4211.04754807,5326.77328912,376.131969671,321.790708234
4200.78199289,5331.05840361,372.019373965,321.09522771
4195.56031608,5336.01125347,369.566929129,320.9073511
4193.45876262,5341.07935671,368.103343558,320.938800961
4193.25184938,5345.92847184,367.259773728,321.069900217
4194.12831826,5350.34894373,366.811667371,321.242307905
4195.5536709,5354.22830245,366.613972844,321.424594575
4197.1854109,5357.52873009,366.570269856,321.599284513
4198.81419292,5360.26437804,366.616124712,321.757120485
4200.32144518,5362.48143589,366.708992955,321.893994331
4201.64881921,5364.24265078,366.821512113,322.009025847
4202.77644637,5365.61640109,366.93680949,322.103265336
4203.70776217,5366.66963181,367.045151976,322.178807465
4204.45917326,5367.46373693,367.141551095,322.238200697
4205.05323612,5368.05253076,367.224067207,322.284071463
4205.51433314,5368.48160793,367.292628088,322.318901103
4205.86608513,5368.78856363,367.348223528,322.34490791
4206.12994013,5369.00369738,367.392371389,322.363998565
4206.32453347,5369.15094475,367.426776452,322.377763052
4206.46553239,5369.24887228,367.453123481,322.387494872
4206.56576679,5369.31163602,367.472961535,322.394224244
4206.63551262,5369.34984944,367.487648466,322.398756276
4206.68284079,5369.37133625,367.498333601,322.401709168
4206.71397757,5369.38176261,367.505963321,322.403549634
4206.73364477,5369.38515436,367.511299206,322.404624142
4206.74536357,5369.3843111,367.514941943,322.405185474
4206.75171515,5369.38113121,367.517356754,322.405414694
4206.75455774,5369.37686247,367.518897788,322.405438875
4206.75520289,5369.37229203,367.51983014,322.40534513
4206.75455572,5369.36788804,367.520348897,322.405191506
4206.75322429,5369.36390339,367.520595088,322.405015303
4259.69158635,5369.36045037,550.738907457,460.045655314
4326.05429215,5383.60804944,691.143426415,574.363008273
4387.26074703,5395.38632217,802.750384331,668.360914997
4440.3034962,5403.37706848,893.365545535,745.584311995
4485.31742349,5408.27254576,967.885695145,809.156224849
4523.01201095,5410.7150838,1029.63522664,861.626408486
4554.22148057,5411.2167156,1081.01913875,905.036421449
4579.79561663,5410.21712655,1123.86551628,941.017036129
4600.55137629,5408.10489745,1159.61540137,970.876376349
4617.24442399,5405.21819744,1189.43423802,995.671039927
4630.55347041,5401.84186299,1214.28122655,1016.2611004
4641.07412372,5398.20703396,1234.95504028,1033.35193304
4649.31939199,5394.49414067,1252.12563583,1047.52589986
4655.7244116,5390.83828117,1266.35749256,1059.26645172
4660.65354464,5387.33579652,1278.12732028,1068.97663504
4664.40853131,5384.05110547,1287.83802997,1076.99348406
4667.23682862,5381.02318952,1295.83006467,1083.59937672
4669.33959872,5378.27139173,1302.39078304,1089.03112854
4670.87904514,5375.80038593,1307.76234861,1093.48737828
4671.98495388,5373.60429554,1312.14843125,1097.13466186
4672.76039862,5371.67001296,1315.71993698,1100.11245968
4673.28663278,5369.97980733,1318.61992491,1102.53742576
4673.6272267,5368.51332194,1320.96783291,1104.50695292
4673.83152657,5367.24906398,1322.86310913,1106.10219061
4673.93751794,5366.1654817,1324.38832906,1107.39060603
4673.97417573,5365.24171373,1325.61186599,1108.42815987
4673.96337782,5364.45808302,1326.59017318,1109.26115503
4673.92145202,5363.79639614,1327.36972868,1109.92780599
4673.86041809,5363.24009742,1327.98868771,1110.45956939
4673.78897831,5362.77431773,1328.47828204,1110.88226986
4673.71330245,5362.38584921,1328.86400138,1111.21705058
4673.63764561,5362.0630701,1329.1665874,1111.48117384
4673.56483135,5361.79583832,1329.40286747,1111.6886935
4673.49662668,5361.57536741,1329.58645163,1111.85101832
4673.43403103,5361.39409478,1329.72831335,1111.97738244
4673.37749696,5361.24554964,1329.83727196,1112.07523736
4673.32709736,5361.12422514,1329.92039217,1112.15057736
4673.28265053,5361.02545802,1329.98331382,1112.20820905
4673.24381287,5360.94531767,1330.0305232,1112.25197386
4673.21014634,5360.88050533,1330.06557572,1112.28493125
4673.18116675,5360.82826385,1330.09127796,1112.30950906
4673.15637757,5360.78629774,1330.10983612,1112.32762654
4673.13529268,5360.752703,1330.12297672,1112.34079473
4673.11745118,5360.72590602,1330.13204432,1112.35019816
4673.10242613,5360.70461078,1330.13808052,1112.35676106
4673.08982916,5360.68775354,1330.14188755,1112.36120091
4673.07931201,5360.67446411,1330.14407929,1112.36407158
4673.07056606,5360.664033,1330.14512204,1112.36579802
4673.06332054,5360.65588368,1330.14536708,1112.36670399
3406.95342507,6941.70163462,1187.23567564,940.328264402
