Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1650.0,900.0,300.0,150.0
3122.46305499,4284.53935994,350.310467835,528.831810696
3903.83700026,5465.60545659,463.322583908,731.165891314
4053.10545525,5386.33711879,611.708589004,827.766564721
4179.03013862,5336.36400594,758.286272544,919.132626196
4298.73328841,5332.38502167,893.494704296,1006.95526705
4399.52871463,5337.46168848,1013.47422244,1086.50777402
4481.36684337,5341.55592573,1117.67169508,1156.23958509
4546.99643941,5342.62622261,1206.98461367,1216.20941633
4599.28283554,5340.79168619,1282.84410748,1267.1531958
4640.72025095,5336.7159013,1346.82770075,1310.05413479
4673.38872137,5331.11172594,1400.48564365,1345.94120406
4698.99956365,5324.59286039,1445.26143245,1375.79628867
4718.9529527,5317.64221437,1482.45860758,1400.51442254
4734.39058791,5310.61947267,1513.23156305,1420.89028488
4746.24052353,5303.78017638,1538.58889696,1437.61769786
3312.57521887,3812.79651742,1405.61075587,1289.13899914
3541.54952208,4683.33765819,1222.65609498,1249.61083204
3498.6563547,4750.21994863,1077.21482301,1155.30464012
3415.02390612,4686.21865197,960.721288149,1066.72928751
3336.05780824,4614.43441526,868.945226772,994.726729234
3268.54551204,4553.69556044,796.312912721,937.580583022
3213.38591488,4505.48473461,738.496366111,892.243008083
3169.28086575,4467.77765166,692.34492249,856.175125783
3134.25650209,4438.21304178,655.481112665,827.427810878
3106.43930859,4414.86466949,626.042537581,804.494861531
3084.2943984,4396.30096116,602.542685091,786.193688856
3066.62396788,4381.47206894,583.788739397,771.586576384
3052.5008462,4369.59450983,568.824064178,759.926781156
3041.20249144,4360.06891283,556.883009583,750.618810062
3032.16035577,4352.42691969,547.35391116,743.187644259
3024.92346701,4346.29715089,539.748709328,737.254357878
3019.13218469,4341.38253607,533.678213623,732.516669197
3014.49879999,4337.44435559,528.832140226,728.733413888
3010.79278257,4334.29040686,524.963105082,725.712159083
3007.82930384,4331.76587849,521.87383982,723.299330358
3005.46017077,4329.74613148,519.407003627,721.372344648
3003.56659623,4328.13090465,517.437071857,719.833341612
3002.05340389,4326.83962868,515.863879744,718.604187653
3000.84437127,4325.80762534,514.607482798,717.622492988
2999.87848384,4324.98302351,513.60406396,716.838435297
2999.106922,4324.3242592,512.802672957,716.212225801
2998.49063886,4323.79805231,512.162627498,715.712087248
2997.99841434,4323.37777239,511.651441114,715.312640025
2997.60529331,4323.04212091,511.24317032,714.993613741
2997.29133296,4322.77407082,510.917095811,714.738818513
2997.04059904,4322.56001437,510.656669929,714.535323479
2996.84036195,4322.38907919,510.448676447,714.372800763
2996.68045341,4322.25258011,510.282559731,714.24300152
2996.5527518,4322.1435802,510.149889081,714.139337457
2996.45077059,4322.05653935,510.043930951,714.056546588
3541.23318495,4984.13731413,552.255180671,779.743584663
4169.57754378,5725.43563483,645.131414203,892.453500054
4338.46795599,5661.8016315,774.739509828,964.634788762
4437.87564469,5569.77611987,906.092174321,1038.38888444
4522.0525583,5518.329304,1027.82633983,1112.04901107
4589.30134573,5483.24406814,1135.47612879,1179.68086419
4641.26495178,5454.70258991,1228.05097957,1238.9058844
4680.82969899,5429.55984915,1306.2643234,1289.37087201
4710.65231984,5406.83426203,1371.53361924,1331.6283044
4732.9076257,5386.23368057,1425.49692961,1366.58520784
4749.32074624,5367.66190345,1469.78055009,1395.23826649
4761.24700877,5351.05419413,1505.89078261,1418.54974846
4769.74759591,5336.32860463,1535.16980309,1437.39363572
4775.65163282,5323.37776043,1558.78497133,1452.53694201
4779.60528205,5312.07365182,1577.73514577,1464.63847257
4782.11030971,5302.27546891,1592.86501133,1474.25585907
4783.55447407,5293.83702916,1604.88250545,1481.85608154
4784.23559271,5286.61277369,1614.37670573,1487.8269819
4784.38068293,5280.46219699,1621.83482591,1492.48849997
4784.161219,5275.25287954,1627.65768765,1496.10302698
4783.7052993,5270.86237553,1632.17343573,1498.88463157
4783.10733716,5267.17920837,1635.64948202,1501.00710602
4782.43575958,5264.10319802,1638.30277538,1502.61088016
4781.73910127,5261.54530697,1640.3085478,1503.80889798
4781.05080682,5259.42715568,1641.80770612,1504.69157043
4780.39299499,5257.68032554,1642.91303924,1505.3309213
4779.77939178,5256.24553906,1643.71440193,1505.78403721
4779.21760041,5255.07178445,1644.28302232,1506.09592367
4778.71084457,5254.11543236,1644.67506476,1506.30185833
4778.25929559,5253.33937828,1644.93456383,1506.42932116
4777.86107253,5252.71223247,1645.09583027,1506.49957086
4777.51298685,5252.20757065,1645.18541567,1506.52892682
4777.2110888,5251.80325232,1645.22371022,1506.5298072
4776.95106129,5251.48080899,1645.22623661,1506.51156597
4776.72849707,5251.22490135,1645.20469343,1506.48116486
4776.53908787,5251.02284217,1645.16779286,1506.44371025
4776.37874751,5250.86418067,1645.12193022,1506.40288021
4776.24368639,5250.74034301,1645.0717166,1506.3612624
4776.13045075,5250.64432342,1645.0204003,1506.32061997
4776.03593672,5250.57042046,1644.97019873,1506.28209966
4775.95738722,5250.51401312,1644.92255809,1506.24639354
4775.89237723,5250.47137158,1644.8783553,1506.21386386
4775.83879198,5250.43949827,1644.83805403,1506.18463871
4775.79480107,5250.41599472,1644.80182413,1506.15868457
4775.75883087,5250.39895079,1644.76963236,1506.13586079
4775.72953676,5250.38685266,1644.74131055,1506.11595999
4775.70577618,5250.37850688,1644.71660614,1506.09873756
4775.6865833,5250.37297788,1644.69521915,1506.08393275
4775.67114568,5250.36953677,1644.67682862,1506.07128344
3457.5135898,7021.85590429,1466.38886603,1230.98968962
