"Lake, winter","Lake, summer",Tributary 1,Tributary 2
40000.0,0.0,0.0,0.0
138750.387577,5389.39181285,26947.6580389,345191.467682
98582.1429281,16314.7204311,81573.5752277,20632.0238664
93033.8639649,13122.0771193,65610.3848261,56056.1973485
93920.1650789,12188.6819709,60943.4061252,76365.5417432
93261.0624447,12164.6721886,60823.3555634,75075.9444715
93405.0265445,12080.297567,60401.4825559,77109.002739
93649.0110601,12084.8482826,60424.2359693,77853.5556286
94013.8160206,12111.8597013,60559.2930042,78544.7744704
94382.6322793,12155.9402064,60779.6954768,78928.2749826
94727.9777127,12202.8665175,61014.3270045,79176.2539779
95028.6471295,12247.7055891,61238.5223451,79315.6303049
95281.7927296,12287.342417,61436.7064762,79396.0823769
95489.7434751,12321.0132312,61605.0605429,79440.5176856
95658.2929085,12348.8478673,61744.2337216,79465.8063904
95793.8085611,12371.4976081,61857.4824252,79480.7742391
95902.3731516,12389.7535164,61948.7619664,79490.526017
95989.2565527,12404.3984678,62021.9867236,79497.5950709
96058.833951,12416.1257982,62080.6233758,79503.2297727
96114.6352199,12425.5181888,62127.5853292,79507.9790828
96159.4691692,12433.0495295,62165.2420328,79512.0753076
96195.5556521,12439.0986557,62195.4876637,79515.6147374
96224.6469697,12443.9657408,62219.8230893,79518.6489509
96248.1288591,12447.887982,62239.4342954,79521.2207846
96267.101093,12451.0529727,62255.259249,79523.3760701
96282.4401106,12453.6095184,62268.0419776,79525.1643082
96294.847193,12455.676113,62278.3749503,79526.6359911
96304.8854366,12457.3474871,62286.7318207,79527.8396075
96313.0082507,12458.6996439,62293.4926047,79528.8195033
96319.5814853,12459.7937401,62298.963086,79529.6147479
121893.822151,12460.6790962,162303.389866,79530.2588171
105781.285722,13989.1753917,169945.871344,14455.9660357
94109.9180287,11975.6283985,159878.141588,15893.6585028
85575.4725311,10341.6205543,151708.102148,19301.2497148
79839.2454776,9150.55405278,145752.769286,23173.8632837
76194.517981,8341.76605425,141708.828925,26610.4628735
73978.6556891,7820.71093143,139103.552998,29270.9448365
72687.5029954,7499.32001845,137496.598196,31171.4545679
71971.4776598,7309.13532637,136545.674569,32461.2958609
71600.1339927,7201.69201793,136008.457915,33303.9086695
71426.9579266,7144.51933603,135722.594433,33836.0360191
71361.8761997,7116.69706605,135583.483038,34160.7483495
71351.5007446,7105.20298627,135526.012612,34351.4487969
71365.5426093,7102.21481502,135511.071741,34458.3511142
71387.7776081,7103.22288077,135516.112061,34514.6518007
71410.2243123,7105.75899341,135528.792619,34541.5987331
71429.5104769,7108.56795918,135542.837446,34552.3503235
71444.6828122,7111.08463207,135555.42081,34554.7666959
71455.9389273,7113.11479029,135565.571601,34553.3480955
71463.9294256,7114.64768069,135573.236053,34550.5345561
45900.4786263,7115.75090584,35578.7521794,34547.5492971
161088.08634,5588.73520503,27943.7118258,417479.174823
110657.260613,18734.4548417,93672.2415929,16808.736258
99332.3902421,14748.4752033,73742.3756747,46345.7458356
99834.6635815,13106.1312623,65530.6534331,78177.8090035
97886.6078043,12954.428797,64772.138511,75288.4783356
97181.5506837,12705.4313749,63527.1516201,77627.6331695
96666.7762765,12593.0166991,62965.0780438,78112.3957568
96447.4937856,12519.0264662,62595.1268349,78799.2074561
96339.4280814,12484.0234558,62420.1117249,79120.2376894
96305.3958136,12466.7552465,62333.7706514,79341.518796
96300.5879223,12460.3639067,62301.8139343,79451.3668752
96308.5851144,12458.8000604,62293.9946937,79509.6616662
96319.1141755,12459.3959303,62296.9740386,79534.3550289
96328.5968678,12460.6076616,62303.0326928,79543.2210904
96335.7554443,12461.810705,62309.0479095,79544.2517683
96340.6655982,12462.7655004,62313.8218863,79542.3977468
96343.781389,12463.4417073,62317.202921,79539.8370089
96345.6324113,12463.8822373,62319.4055711,79537.5501159
96346.6590332,12464.1502969,62320.7458694,79535.8141995
96347.1849708,12464.3028389,62321.5085795,79534.6249136
96347.4261734,12464.3834718,62321.9117441,79533.8690888
96347.517128,12464.4221938,62322.1053543,79533.4201361
96347.5360726,12464.4381537,62322.1851536,79533.1710028
96347.525467,12464.4427672,62322.2082211,79533.0433979
96347.5064336,12464.4423972,62322.2063711,79532.9849005
96347.4882247,12464.4403205,62322.1959878,79532.9628936
96347.4739849,12464.4380525,62322.1846478,79532.9583765
96347.4640419,12464.4361738,62322.1752541,79532.9610367
96347.4576484,12464.4348138,62322.1684543,79532.96574
96347.4538226,12464.4339146,62322.1639582,79532.9702362
96347.4516956,12464.4333626,62322.1611984,79532.9737598
96347.4506135,12464.4330473,62322.1596218,79532.9762307
96347.4501308,12464.4328813,62322.1587918,79532.9778306
96347.4499662,12464.4328031,62322.1584011,79532.9787989
96347.4499539,12464.432773,62322.1582505,79532.9793475
96347.4500031,12464.4327669,62322.1582198,79532.9796364
96347.4500679,12464.4327712,62322.1582412,79532.9797748
96347.4501283,12464.4327788,62322.1582792,79532.9798319
96347.4501772,12464.4327865,62322.1583176,79532.9798487
96347.4502141,12464.4327929,62322.15835,79532.9798479
96347.4502409,12464.4327979,62322.1583749,79532.9798411
96347.4502598,12464.4328016,62322.1583933,79532.9798337
96347.4502732,12464.4328042,62322.1584064,79532.9798277
96347.4502826,12464.4328061,62322.1584157,79532.9798234
96347.4502894,12464.4328074,62322.1584222,79532.9798208
96347.4502945,12464.4328083,62322.158427,79532.9798193
96347.4502983,12464.432809,62322.1584304,79532.9798185
96347.4503012,12464.4328095,62322.158433,79532.9798183
96347.4503035,12464.4328099,62322.1584351,79532.9798182
96347.4503054,12464.4328103,62322.1584366,79532.9798183
0.0,0.0,0.0,0.0
