Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1785.0,900.0,300.0,15.0
3247.96851683,4608.91134483,369.712278361,59.552553438
4015.34582638,5866.68956456,435.971846466,93.7692386578
4115.26612091,5673.84384527,521.488247214,119.886476248
4228.08476701,5596.95244073,611.925595482,147.115670042
4337.56483744,5583.26947684,699.816771807,174.749268523
4426.20475697,5581.64832817,779.695481861,201.814714898
4494.46417848,5579.73341338,849.447147928,227.746713019
4545.91190912,5575.02263262,908.874198483,252.193980374
4584.05915603,5567.62211421,958.672438286,274.943481012
4611.86821903,5558.30663943,999.899345437,295.884434438
4631.74007922,5547.90954569,1033.70740397,314.983279843
4645.58803729,5537.13209685,1061.21351052,332.263791166
4654.92026624,5526.50189588,1083.43893741,347.790931813
4660.91459814,5516.38447128,1101.286236,361.657850928
4664.48243727,5507.01130714,1115.53541735,373.975579989
3101.15938055,3861.39738367,970.25749037,367.986295207
3352.50798274,4933.00906069,798.704132213,366.138002556
3367.74005607,5109.2406014,667.461055006,353.597491122
3331.2482669,5094.98201404,571.102731124,337.731789257
3288.8775733,5051.64896623,501.962859737,321.492855974
3249.69477351,5010.38905388,451.959258633,305.878748733
3217.23759638,4977.51007327,415.26709546,291.289536658
3192.01952831,4952.91024141,388.024876114,277.897044482
3173.04825425,4934.91929131,367.63396875,265.759239083
3158.957546,4921.82765821,352.28033378,254.866268431
3148.51501211,4912.2771518,340.660094395,245.165951731
3140.75399954,4905.2737353,331.820210591,236.580857831
3134.9568669,4900.10817577,325.058439379,229.020285632
3130.60106925,4896.27593488,319.855406911,222.388519447
3127.30759329,4893.41631496,315.826153282,216.59030239
3124.80093006,4891.26978099,312.684774478,211.534285359
3122.88000144,4889.6485131,310.218424285,207.13504727
3121.39742414,4888.41595346,308.268174031,203.314134253
3120.24472361,4887.47242613,306.714929235,200.00044305
3119.34173621,4886.74491612,305.469073163,197.130179404
3118.62897123,4886.17974822,304.462851376,194.646552534
3118.06208155,4885.7373159,303.644768557,192.499316506
3117.60784746,4885.38827369,302.975461214,190.644233567
3117.24125199,4885.11078008,302.42465258,189.042509272
3116.94334618,4884.88849724,301.968901272,187.660231607
3116.69968732,4884.70913699,301.589932649,186.467834051
3116.49919384,4884.56340175,301.273398383,185.439594117
3116.33330317,4884.44421145,301.007951216,184.553173226
3116.19535075,4884.34613775,300.784552124,183.789199988
3116.08011035,4884.26498876,300.595949234,183.130896523
3115.9834526,4884.19750329,300.436283993,182.563745949
3115.90209019,4884.14112488,300.300791915,182.075198287
3115.83338676,4884.09383411,300.185573846,181.654411619
3115.77521288,4884.0540236,300.087420039,181.292025133
3115.72583683,4884.02040442,300.003673932,180.979960779
3713.17767159,5643.50994595,342.816967432,187.745907064
4245.49248045,6185.29885103,426.028277001,200.067848661
4377.41722546,6006.70663471,533.720020602,212.598461195
4475.19280034,5887.98657771,642.301657502,228.548953171
4555.37633832,5820.7460068,742.146861973,246.710091562
4614.10692339,5771.54996874,828.894409126,265.779495162
4654.55463438,5729.78897872,901.662327161,284.864515088
4680.93551756,5692.31701891,961.30028955,303.359010963
4696.90997723,5658.2806336,1009.35508087,320.86287254
4705.39029423,5627.51609017,1047.55534764,337.130056913
4708.62046743,5600.00748743,1077.5686548,352.029517886
4708.29664917,5575.70952771,1100.89636339,365.514491931
4705.67987649,5554.50436439,1118.83799674,377.598293195
4701.69148396,5536.20643215,1132.49006446,388.335429811
4696.99095526,5520.58171354,1142.76111281,397.807087117
4692.03831221,5507.36852177,1150.39343809,406.110162537
4687.14353395,5496.29523561,1155.98647743,413.349153069
4682.5053285,5487.09381693,1160.01935378,419.630303119
4678.24126755,5479.50927604,1162.87139042,425.057518435
4674.41097613,5473.3057149,1164.8401384,429.729639713
4671.03378147,5468.2696781,1166.15685079,433.738746189
4668.1019767,5464.21149291,1166.99953874,437.169225208
4665.59064409,5460.96517828,1167.50383923,440.097398957
4663.46480418,5458.3873901,1167.77195976,442.59154529
4661.68450825,5456.355765,1167.8799675,444.71218695
4660.20836705,5454.76693413,1167.88367541,446.512553732
4658.99590612,5453.53440309,1167.82335434,448.039146267
4658.00905386,5452.58643492,1167.72747326,449.332349218
4657.21299994,5451.86402644,1167.61564275,450.427056579
4656.57660676,5451.31903361,1167.50091122,451.353283301
4656.07251225,5450.91247602,1167.39153956,452.136746222
4655.67702797,5450.61303237,1167.29235927,452.799403881
4655.36990877,5450.39572632,1167.20580055,453.35994959
4655.13404953,5450.24079399,1167.13266118,453.834255676
4654.9551481,5450.13271931,1167.07267355,454.235769201
4654.82136139,5450.05942108,1167.0249162,454.575861109
4654.72297228,5450.01157422,1166.98810647,454.864131798
4654.65207857,5449.98204821,1166.96080351,455.108676682
4654.60231001,5449.96544629,1166.94154449,455.31631557
4654.56857622,5449.95773042,1166.92893171,455.492789762
4654.5468459,5449.95591831,1166.9216843,455.642930594
4654.53395619,5449.95784076,1166.91866489,455.770802986
4654.52745012,5449.96194863,1166.91888905,455.879827268
4654.5254395,5449.96716058,1166.92152336,455.972882236
4654.52649053,5449.972744,1166.9258764,456.052392097
4654.52952914,5449.9782226,1166.93138557,456.120399655
4654.53376346,5449.98330542,1166.93760206,456.178627792
4654.53862083,5449.98783287,1166.94417528,456.228531027
4654.54369706,5449.99173605,1166.95083781,456.271338708
3435.42231724,6851.73381623,1041.88984602,398.763225621
