Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1725.0,900.0,300.0,75.0
3188.14626771,4464.74601821,350.310467835,282.941939705
3956.40295554,5689.7884488,418.563492006,418.414526955
4069.93883371,5546.54786231,517.37082529,500.27106588
4180.96542952,5479.68789731,623.513212173,577.739353938
4288.93845553,5469.09520504,726.458208065,651.170339179
4378.33668156,5469.70888086,820.141118311,718.288870652
4449.16698859,5470.05599601,902.551220105,778.260397517
4504.44209037,5467.75493234,973.693031878,830.98462044
4547.23167368,5462.86841076,1034.39576823,876.757657245
4580.15253246,5456.08317287,1085.77429556,916.095750105
4605.33219102,5448.13992099,1128.99235033,949.622687487
4624.46972447,5439.66052085,1165.16001194,977.996656241
4638.91089192,5431.11387168,1195.29173256,1001.86454582
4649.71678419,5422.82894818,1220.29240993,1021.8351535
4657.7214337,5415.02087795,1240.95675699,1038.46503446
4597.50334011,5407.8175381,1028.22000666,855.682797206
4529.13772323,5383.48814317,902.150436776,744.162884188
4475.0041477,5365.51276352,824.124799113,675.904005903
4435.26863684,5354.5514289,774.315569886,633.638951799
4406.84294433,5348.58380719,741.723536732,607.060931665
4386.88942196,5345.97615684,719.971201495,590.071915222
4373.18343191,5345.58142448,705.232044786,579.044527502
4364.0293087,5346.58922315,695.139476064,571.793815998
4358.14569372,5348.42143826,688.187898814,566.981239249
4354.57177576,5350.66922216,683.393797143,563.770487685
4352.59420744,5353.05113557,680.09899029,561.627924554
4351.68986762,5355.38199935,677.853639506,560.205824746
4351.48078869,5357.548263,676.34495502,559.273150086
4351.69868438,5359.48827116,675.352611063,558.67380396
4352.15718281,5361.17665257,674.720089685,558.300937137
4352.73027176,5362.61226022,674.335740148,558.08076186
4353.33573623,5363.80911774,674.119916287,557.962099451
4353.92257799,5364.78983563,674.016024458,557.909460324
4354.46158012,5365.58099333,673.984163265,557.898354547
4354.93832854,5366.21003786,673.996532223,557.912048925
4355.34813052,5366.70331766,674.034080751,557.939287777
4355.6923797,5367.08493977,674.084046971,557.972672285
4355.97600956,5367.37620456,674.138146265,558.007500006
4356.20575456,5367.59542937,674.191240183,558.040931693
4356.38900112,5367.75802096,674.240363077,558.071393984
4356.5330621,5367.87669526,674.284015869,558.09815343
4356.64474886,5367.96177346,674.321659169,558.121015456
4356.7301476,5368.02150627,674.353354499,558.140114381
4356.79453143,5368.06239567,674.379514855,558.155769522
4356.84235879,5368.08949529,674.400735209,558.168388945
4356.87732349,5368.1066798,674.417680786,558.178407167
4356.9024324,5368.11687895,674.431016475,558.186246754
4356.92009476,5368.12227606,674.441365014,558.192296385
4356.93221272,5368.12447301,674.449284846,558.196900033
4356.9402672,5368.12462488,674.45526102,558.200353388
4392.1280212,5368.12354817,796.557658607,657.393654463
4436.60545549,5377.58558006,891.373282415,738.481756065
4477.98403585,5385.53679372,967.398420639,804.558393916
4514.04807258,5390.96109021,1029.45471175,858.530642475
4544.75653115,5394.26351884,1080.64968021,902.788780011
4570.52099149,5395.86793442,1123.1473352,939.219143715
4591.87454408,5396.12815772,1158.54528315,969.300935073
4609.38020521,5395.3524965,1188.07571538,994.199374416
4623.58855787,5393.81345796,1212.71943854,1014.84016557
4635.01338743,5391.74719897,1233.27458704,1031.96594649
4644.11837625,5389.35166629,1250.40052463,1046.17830153
4651.31151938,5386.78674122,1264.64748029,1057.9688936
4656.94474264,5384.17666055,1276.4775802,1067.742618
4661.31676831,5381.61399601,1286.28044762,1075.83497816
4664.67779685,5379.16437793,1294.38522008,1082.52529255
4667.23501686,5376.87133543,1301.07010158,1088.04688652
4669.15829807,5374.76085065,1306.57014746,1092.59508673
4670.58567179,5372.84540838,1311.08373131,1096.33359475
4671.62837636,5371.12745166,1314.77799198,1099.39964595
4672.37536102,5369.60223596,1317.79346554,1101.90824132
4672.89721614,5368.26012215,1320.24804798,1103.9556574
4673.24954324,5367.08837218,1322.24039657,1105.62238291
4673.47580438,5366.07252011,1323.85285325,1106.97559164
4673.6097034,5365.19739098,1325.15395669,1108.07123382
4673.67715609,5364.44783432,1326.20059826,1108.9558098
4673.69790613,5363.8092316,1327.03986853,1109.66787587
4673.68684001,5363.26782817,1327.71063495,1110.23932315
4673.65504926,5362.81093164,1328.24488586,1110.69646274
4673.6106826,5362.42701121,1328.66887198,1111.06094532
4673.55962515,5362.10572518,1329.00407285,1111.35053896
4673.50603606,5361.83789841,1329.26801241,1111.57978555
4673.45277143,5361.61546618,1329.47494493,1111.76055349
4673.40171466,5361.43139723,1329.63643019,1111.90250169
4673.35403262,5361.27960528,1329.76181405,1112.01346818
4673.31037284,5361.15485594,1329.85862877,1112.09979456
4673.27101394,5361.05267365,1329.93292546,1112.16659612
4673.23597941,5360.96925207,1329.98954923,1112.21798615
4673.20512272,5360.90136995,1330.03236619,1112.25726152
4673.17819004,5360.84631369,1330.06445026,1112.28705593
4673.15486606,5360.80180714,1330.0882363,1112.309466
4673.13480649,5360.76594886,1330.1056453,1112.32615467
4673.11766082,5360.73715657,1330.1181865,1112.33843584
4673.10308756,5360.71411846,1330.12704021,1112.34734341
4673.09076403,5360.69575087,1330.13312505,1112.35368738
4673.08039215,5360.6811617,1330.13715212,1112.35809933
4673.0717013,5360.66961905,1330.13966866,1112.36106923
4673.06444922,5360.66052448,1330.14109304,1112.36297502
4673.05842154,5360.65339025,1330.14174271,1112.36410643
4673.05343037,5360.6478202,1330.14185657,1112.36468397
3406.94381325,6941.69655938,1187.23252038,940.326399711
